,M_NAME,Cluster,0,1,2,3,4,,,,,,
79,Jessica Eye,0,0.255608549,0.177665242,0.214678449,0.125610209,0.226437551,,,,,,
80,Jimmie Rivera,0,0.253421826,0.186886734,0.151358383,0.199655174,0.208677883,,,,,,
81,Jimmy Crute,3,0.243210193,0.135016826,0.116214217,0.340013786,0.165544978,,,,,,
82,Jiri Prochazka,4,0.115915508,0.272307716,0.122550883,0.173377969,0.315847924,,,,,,
83,Joanna Jedrzejczyk,0,0.255245776,0.169769542,0.149547314,0.177326051,0.248111318,,,,,,
84,Joanne Calderwood,0,0.289335261,0.133908384,0.203662506,0.179475226,0.193618623,,,,,,
85,Johnny Walker,1,0.115740314,0.331608325,0.127882143,0.315097622,0.109671597,,,,,,
86,Jordan Espinosa,4,0.198786519,0.210602412,0.125041055,0.207652872,0.257917142,,,,,,
87,Jorge Masvidal,0,0.251618922,0.17328925,0.150500158,0.20874826,0.21584341,,,,,,
88,Jose Aldo,1,0.180367562,0.243862639,0.13946936,0.22374481,0.212555628,,,,,,
89,Joseph Benavidez,4,0.203817667,0.202128965,0.190873746,0.183195374,0.219984248,,,,,,
90,Josh Emmett,4,0.176192651,0.203541291,0.147395052,0.205555124,0.267315882,,,,,,
91,Julia Avila,1,0.115503574,0.371569689,0.083123322,0.14702856,0.282774856,,,,,,
92,Julianna Pena,3,0.177327305,0.161982374,0.20098445,0.237623478,0.222082394,,,,,,
93,Junior Dos Santos,1,0.16499319,0.255748693,0.16064543,0.171810033,0.246802654,,,,,,
94,Jussier Formiga,3,0.192496498,0.191348241,0.181886049,0.242071123,0.192198088,,,,,,
95,Justin Gaethje,0,0.231795888,0.205910258,0.180160699,0.223063009,0.159070146,,,,,,
96,Kai Kara-France,4,0.213950913,0.215697257,0.113521576,0.22794178,0.228888474,,,,,,
97,Kamaru Usman,0,0.251897802,0.173739561,0.224386819,0.175916884,0.174058934,,,,,,
98,Katlyn Chookagian,4,0.17075077,0.126363176,0.1908551,0.219109943,0.29292101,,,,,,
99,Kelvin Gastelum,4,0.189141416,0.192606623,0.151804321,0.220877579,0.24557006,,,,,,
100,Ketlen Vieira,3,0.182049217,0.170296062,0.203831671,0.229525772,0.214297278,,,,,,
101,Kevin Lee,1,0.196162632,0.252934556,0.212153808,0.167538095,0.171210909,,,,,,
102,Khabib Nurmagomedov,3,0.170411245,0.21792838,0.155757253,0.26288623,0.193016892,,,,,,
103,Lauren Murphy,4,0.186424444,0.157273665,0.181538775,0.219259137,0.255503979,,,,,,
104,Leon Edwards,3,0.222835079,0.1824988,0.126686222,0.260315677,0.207664223,,,,,,
105,Lina Lansberg,1,0.218153756,0.243348621,0.210046739,0.165388532,0.163062352,,,,,,
106,Mackenzie Dern,2,0.155203302,0.176501493,0.378055458,0.155985359,0.134254388,,,,,,
107,Macy Chiasson,1,0.177876341,0.265196622,0.214413569,0.172590866,0.169922602,,,,,,
108,Magomed Ankalaev,1,0.160946062,0.235306175,0.162552186,0.234906963,0.206288613,,,,,,
109,Marcin Tybura,1,0.175748204,0.276906198,0.189890541,0.197308807,0.16014625,,,,,,
110,Marina Rodriguez,4,0.216593125,0.196498742,0.180957027,0.153457355,0.25249375,,,,,,
111,Marion Reneau,3,0.178009887,0.190164919,0.213562231,0.220522346,0.197740617,,,,,,
112,Marlon Moraes,4,0.185999188,0.195076888,0.165419107,0.217840652,0.235664166,,,,,,
113,Marlon Vera,2,0.206766446,0.175765228,0.213591006,0.198400392,0.205476927,,,,,,
114,Marvin Vettori,4,0.180011985,0.145242079,0.183632522,0.219901838,0.271211576,,,,,,
115,Matt Schnell,2,0.139341165,0.163759235,0.348317745,0.112063313,0.236518542,,,,,,
116,Mauricio Rua,2,0.167925491,0.183628863,0.262870979,0.150758075,0.234816591,,,,,,
117,Max Holloway,4,0.193265652,0.217745428,0.140639683,0.165042944,0.283306292,,,,,,
118,Maycee Barber,1,0.156467235,0.283788954,0.163172026,0.247679582,0.148892203,,,,,,
119,Merab Dvalishvili,2,0.26052412,0.123706668,0.307700593,0.139616168,0.168452452,,,,,,
120,Michael Chiesa,0,0.235812169,0.191049088,0.172410741,0.228387954,0.172340049,,,,,,
121,Michelle Waterson,2,0.22751749,0.14729713,0.237874134,0.197989213,0.189322031,,,,,,
122,Misha Cirkunov,2,0.205118563,0.188282575,0.297642111,0.150440242,0.158516509,,,,,,
123,Montana De La Rosa,2,0.184305298,0.154074952,0.236086587,0.224042383,0.20149078,,,,,,
124,Nate Diaz,2,0.203620606,0.15079021,0.238184605,0.214413804,0.192990774,,,,,,
125,Neil Magny,4,0.196368278,0.197858906,0.177790311,0.189362809,0.238619696,,,,,,
126,Nikita Krylov,3,0.186581679,0.177630551,0.198755801,0.235163217,0.201868752,,,,,,
127,Nina Ansaroff,0,0.255852346,0.174243206,0.149540434,0.209988684,0.210375329,,,,,,
128,Omari Akhmedov,4,0.190227294,0.214557891,0.185977104,0.168422287,0.240815424,,,,,,
129,Pannie Kianzad,1,0.21999456,0.255870961,0.129360708,0.19127316,0.203500612,,,,,,
130,Paul Craig,2,0.21136278,0.192733064,0.2408429,0.177302892,0.177758364,,,,,,
131,Paul Felder,3,0.21298135,0.178689949,0.162600407,0.231523621,0.214204673,,,,,,
132,Paulo Costa,4,0.172978861,0.225004999,0.167651422,0.164790382,0.269574336,,,,,,
133,Pedro Munhoz,4,0.213244752,0.192540727,0.201191905,0.165160245,0.227862371,,,,,,
134,Petr Yan,4,0.189510195,0.224942404,0.149515276,0.179834413,0.256197711,,,,,,
135,Rafael Dos Anjos,0,0.215303192,0.203358131,0.181931454,0.196843029,0.202564194,,,,,,
136,Raphael Assuncao,4,0.213008915,0.172463828,0.165316728,0.217336946,0.231873584,,,,,,
137,Raquel Pennington,3,0.183549832,0.182763589,0.173281758,0.243112544,0.217292277,,,,,,
138,Raulian Paiva,0,0.248808068,0.171731171,0.172856446,0.180451316,0.226153,,,,,,
139,Rob Font,4,0.192095901,0.186912975,0.143902504,0.201577639,0.275510981,,,,,,
140,Robbie Lawler,1,0.146936723,0.26462743,0.133153753,0.227659213,0.227622881,,,,,,
141,Robert Whittaker,3,0.185606878,0.205609489,0.125740752,0.246330072,0.236712809,,,,,,
142,Rogerio Bontorin,0,0.320229866,0.207599377,0.191355377,0.145065644,0.135749737,,,,,,
143,Rose Namajunas,3,0.14024706,0.195814774,0.16035224,0.288175856,0.21541007,,,,,,
