M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Sodiq Yusuff,8,2188,2,1,1,316.0,0,0,0,0,157.0,241,491,279,537,0,1,173,412,25,32,43,47,204,432,12,19,25,40,155,381,163,390,3,11,96,304,40,57,19,20,147,371,8,9,0,1,4
Song Yadong,7,1879,3,2,0,545.0,0,0,0,0,21.0,134,321,191,386,3,3,93,256,22,36,19,29,102,274,6,7,26,40,86,276,96,287,0,3,60,227,14,25,12,24,79,265,6,8,1,3,4
Stephen Thompson,20,5751,7,0,0,552.0,2,3,0,0,193.0,448,942,485,985,3,8,294,726,102,147,52,69,379,850,38,49,31,43,295,718,334,761,0,12,108,441,60,113,127,164,236,635,57,81,2,2,7
Stipe Miocic,32,8314,7,0,0,1436.0,2,1,0,0,395.0,717,1422,901,1625,11,48,514,1198,105,119,98,105,557,1191,93,132,67,99,645,1376,786,1528,5,16,455,1077,103,193,87,106,559,1255,53,76,33,45,11
Tecia Torres,18,5400,0,0,0,753.0,3,0,0,3,1450.0,410,855,591,1060,4,11,247,661,80,102,83,92,326,740,57,81,27,34,328,833,461,978,19,36,161,594,124,172,43,67,206,678,61,85,61,70,3
Thiago Santos,32,7592,11,1,2,1382.0,4,2,4,0,1359.0,581,1184,703,1312,8,18,343,846,129,181,109,157,271,706,120,149,190,329,270,615,365,723,14,45,141,429,68,100,61,86,183,505,46,64,41,46,12
Tim Elliott,20,5535,0,7,4,1103.0,6,0,9,3,1314.0,289,728,507,975,16,43,174,522,48,114,67,92,209,609,54,82,26,37,241,636,324,721,10,19,164,531,51,75,26,30,206,574,21,44,14,18,2
Tony Ferguson,22,6072,2,7,0,191.0,2,1,0,1,440.0,562,1348,590,1381,5,10,353,1063,101,148,108,137,511,1276,15,25,36,47,466,1089,488,1116,6,16,292,833,100,168,74,88,441,1046,1,10,24,33,8
Tyron Woodley,40,11066,4,5,0,1594.0,4,0,1,0,2645.0,358,744,737,1175,16,41,168,517,142,174,48,53,191,534,125,145,42,65,541,1021,1238,1758,9,55,243,666,217,256,81,99,273,712,179,198,89,111,9
Tyson Nam,8,2134,1,0,0,122.0,2,0,0,0,19.0,126,395,131,400,0,4,89,338,25,44,12,13,104,357,7,16,15,22,204,590,205,591,0,4,136,487,16,41,52,62,191,570,11,17,2,3,1
