M_NAME,ROUNDS,TIME,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL,M_RES
Jose Aldo,58,265.56666666666666,7,0.01129659846868332,0,2063.0,4,2,0,0,1733.0,3.2910756872097404,1940,1080,2162,0.04518639387473328,19,582,1542,154,235,138,163,735,1747,0.13555918162419983,42,0.38784988075812726,151,871,2214,1164,2552,7,73,559,1752,152,238,160,224,634,1898,82,110,155,206,13
Joseph Benavidez,53,248.11666666666667,6,0.0362732585477262,1,2333.0,6,3,2,0,1253.0,3.780479613085242,2770,1158,3019,0.06448579297373547,64,520,2056,228,413,190,301,727,2401,0.491704171424733,211,0.35870222341640357,158,624,1758,789,1950,30,86,355,1378,191,279,78,101,464,1517,126,195,34,46,15
Josh Emmett,13,63.65,2,0.015710919088766692,0,271.0,1,0,0,0,235.0,3.629222309505106,593,251,619,0.12568735271013354,18,124,440,57,93,50,60,176,521,0.5498821681068342,45,0.31421838177533384,27,209,676,250,724,4,7,149,583,40,67,20,26,178,620,25,47,6,9,4
Julia Avila,7,30.366666666666667,1,0.0,0,465.0,1,0,3,1,776.0,3.0954994511525795,229,143,292,0.03293084522502744,2,66,191,16,24,12,14,61,182,0.9220636663007684,40,0.16465422612513722,7,88,194,148,270,4,10,74,175,10,15,4,4,51,137,8,15,29,42,2
Julianna Pena,10,46.86666666666667,0,0.021337126600284494,1,1449.0,2,0,3,2,801.0,2.9018492176386914,296,396,608,0.19203413940256045,17,93,240,34,45,9,11,19,94,0.7467994310099573,45,1.7496443812233287,157,65,141,144,240,6,8,45,120,18,19,2,2,38,107,15,19,12,15,3
Junior Dos Santos,45,199.96666666666667,11,0.0,0,391.0,5,4,0,0,1287.0,4.755792632105351,1950,1025,2041,0.025004167361226872,8,593,1425,319,476,39,49,832,1747,0.2650441740290048,93,0.3300550091681947,110,586,1479,707,1622,14,73,404,1252,76,102,106,125,446,1278,82,120,58,81,12
Jussier Formiga,20,92.03333333333333,2,0.05432814197754437,1,1460.0,4,3,1,3,939.0,1.4777254617892068,323,264,460,0.14125316914161537,39,97,273,21,29,18,21,97,271,0.13038754074610648,20,0.2933719666787396,32,219,611,394,798,1,20,130,478,65,102,24,31,113,463,56,79,50,69,5
Justin Gaethje,17,68.0,3,0.0,0,136.0,3,1,1,0,81.0,7.0,802,481,809,0.0,1,280,582,44,54,152,166,430,745,0.6176470588235294,50,0.058823529411764705,7,531,1187,544,1204,3,10,358,972,112,144,61,71,489,1140,38,43,4,4,4
Kai Kara-France,14,65.8,2,0.0,1,698.0,2,3,4,1,272.0,4.954407294832827,872,399,958,0.030395136778115502,12,227,737,46,70,53,65,263,758,0.10638297872340426,14,0.851063829787234,100,263,757,285,781,1,15,188,655,52,75,23,27,249,728,8,18,6,11,3
Kamaru Usman,19,91.31666666666666,1,0.021901806899069173,0,3540.0,0,0,3,0,42.0,4.029932469428728,644,778,1095,0.3066252965869684,66,217,463,109,134,42,47,169,370,0.7884650483664902,91,1.3907647380908925,183,177,436,273,552,0,0,99,336,52,70,26,30,122,364,43,54,12,18,6
