,Unnamed: 0,ROUNDS,TIME,M_RES,M_KD,M_SUB_ATT,M_REV,M_CTRL,OP_RES,OP_KD,OP_SUB_ATT,OP_REV,OP_CTRL,M_SIG_STR_SUCC,M_SIG_STR_TOTAL,M_TOTAL_STR_SUCC,M_TOTAL_STR_TOTAL,M_TD_SUCC,M_TD_TOTAL,M_HEAD_SUCC,M_HEAD_TOTAL,M_BODY_SUCC,M_BODY_TOTAL,M_LEG_SUCC,M_LEG_TOTAL,M_DIST_SUCC,M_DIST_TOTAL,M_CLIN_SUCC,M_CLIN_TOTAL,M_GROUND_SUCC,M_GROUND_TOTAL,OP_SIG_STR_SUCC,OP_SIG_STR_TOTAL,OP_TOTAL_STR_SUCC,OP_TOTAL_STR_TOTAL,OP_TD_SUCC,OP_TD_TOTAL,OP_HEAD_SUCC,OP_HEAD_TOTAL,OP_BODY_SUCC,OP_BODY_TOTAL,OP_LEG_SUCC,OP_LEG_TOTAL,OP_DIST_SUCC,OP_DIST_TOTAL,OP_CLIN_SUCC,OP_CLIN_TOTAL,OP_GROUND_SUCC,OP_GROUND_TOTAL
OP_SUB_ATT,-0.007188931804215591,0.05709450364158553,0.058906579780179796,-0.15122307827927692,-0.09258235629319406,0.019985657852437954,0.14703188163647313,0.16495792190976363,0.15122307827927692,-0.009904499728280268,1.0,0.1880479668760033,0.18713498546221138,-0.05697388497517117,-0.07078723431791922,0.018241212510887596,-0.026794351449417195,0.11832025037576013,0.07399098052989704,-0.03662363485330224,-0.06312643621242436,-0.04536434976693091,-0.05551075212984848,-0.07436999381121194,-0.06832744519730792,-0.10004980706212299,-0.100234776987374,0.011914942096060265,0.02110849159422124,0.09780960560637372,0.11266746540849847,-0.04385556859585176,-0.07102777908896843,0.030682450506353248,-0.02801239770915683,0.12835782314872504,0.07587346893861903,-0.014879679545689462,-0.05792268794199616,-0.04678923842510451,-0.06920727310876928,-0.08442184569028098,-0.08746444887851773,-0.09093441609374263,-0.09854685210744657,0.024657169414661815,0.01870496928743012,0.12862933298718393,0.13500727347830824
OP_REV,0.022684201942419237,0.07737190974257362,0.08320398584327134,-0.016248601200202505,-0.05127409557501781,0.12386880942799501,0.3344511361495164,0.20851865584021234,0.016248601200202505,-0.039401000532586744,0.1880479668760033,1.0,0.18841783875478296,-0.039381013981747585,-0.05588038685255282,0.08793855748852442,0.024799050148896516,0.19335108370092957,0.1222538822031666,-0.010734477015776633,-0.042257962375107955,-0.031718082850991106,-0.04751543872552198,-0.09051346301218678,-0.09148386852832643,-0.07974004471267153,-0.08252976993848124,0.001429022866257417,0.004949215011546497,0.10330156094470544,0.11363539653117942,-0.02488449487489319,-0.058358319600105464,0.05190249659942166,-0.011662657376905621,0.09315402206372309,0.055243632153216274,-0.0005526730950495222,-0.04834521819471368,-0.04077415024382125,-0.060452767657232676,-0.055177693124869746,-0.06350480076818929,-0.06897039434903166,-0.08564531470518147,0.005519978166343993,0.0013793550836899884,0.14406751594274922,0.15327978969585482
OP_CTRL,0.11712417213576587,0.35107656902805295,0.3572569187646053,-0.2984713133314548,-0.17287493681958158,0.15246289569756116,0.1978401930495469,-0.04288286534859953,0.29847131333145493,-0.04371047552007911,0.18713498546221138,0.18841783875478296,1.0,-0.0028056656769422134,-0.011707814296912575,0.10993388184707477,0.055649162417491974,-0.07269937282005219,-0.05104136156849218,-0.022949241210026675,-0.02066487322682917,0.10425961001046545,0.0833509783570781,-0.0518860777105612,-0.0570818213161007,-0.04320094784889134,-0.03129531920878462,0.22379175130364296,0.20318543218948548,-0.04993641242399274,-0.053683797735878495,0.19839979453036763,0.09620928545329598,0.46222616719327647,0.2729020283070829,0.7320968525923127,0.619308827651699,0.19678316727057035,0.08736346614050251,0.16884387025229025,0.10587226379051953,0.07314239968523387,0.052916818260215964,-0.008536702510041327,-0.029984022800118287,0.3085391967136217,0.29062146893938456,0.5730527957967231,0.5816081619052931
M_SIG_STR_SUCC,-0.02922293805648179,0.6553902520488748,0.6666553335267408,0.11984680140122403,-0.02777311673316741,-0.1414748452351584,-0.010314768944962248,0.15212629367568165,-0.11984680140122403,-0.06656579801275533,-0.05697388497517117,-0.039381013981747585,-0.0028056656769422134,1.0,0.9225942721859256,0.847746839722245,0.897959449953024,0.11902141685203382,0.1794821056628444,0.9275023230598941,0.8799588216196471,0.7367323554569009,0.733789026362339,0.5936409858682538,0.5648464276142896,0.9176711594895626,0.8475594190622697,0.4509281279478834,0.4538292320480785,0.21011696527761728,0.1946622998364488,0.6640950812339321,0.7252322639793037,0.5484246683596576,0.6867030192881379,0.013096666487946025,0.20800406971004773,0.6197179250018612,0.7073358870689468,0.5083023403027144,0.5532491407100754,0.41192480470484094,0.4061382557103899,0.7007709764289197,0.7320363733741578,0.2869033964100189,0.3135797355667996,-0.06373354153833467,-0.07017665369389971
M_SIG_STR_TOTAL,-0.05897583452778763,0.7080499817327535,0.7238447851953916,0.02422957250987756,-0.07258757068820462,-0.16814768268206312,-0.0394881350667588,0.06276672266652064,-0.02422957250987756,-0.04623565858174537,-0.07078723431791922,-0.05588038685255282,-0.011707814296912575,0.9225942721859256,1.0,0.7451507354525184,0.9414757966581863,0.08031244123895502,0.195994824714867,0.8507391918198459,0.9765768097579842,0.661121154728304,0.7169892469760095,0.5795402186455193,0.5734330215375887,0.9146621127100114,0.9680282386784075,0.3403904331083523,0.37420915268821764,0.05409353573365634,0.06044628649179789,0.7216219106498067,0.8110121393120334,0.5855024454985621,0.7611718238277019,0.03634271077799541,0.22091778993251487,0.6689828888305454,0.7926492652023281,0.5362011831680717,0.5952597648328676,0.4753999170543872,0.4712683877227678,0.7738034686749922,0.8260037883587156,0.25654787641686305,0.28726261848477713,-0.06510991837521662,-0.069522192519935
M_TOTAL_STR_SUCC,0.03988267532449771,0.6747194305647601,0.6939184292058656,0.14717793171071444,-0.1083855285995809,-0.027901857574021666,0.07377598226297195,0.4935314315440682,-0.14717793171071444,-0.10661205269359975,0.018241212510887596,0.08793855748852442,0.10993388184707477,0.847746839722245,0.7451507354525184,1.0,0.9035175642677761,0.33353435002178655,0.3387196874507346,0.7985481486081487,0.7119516507077639,0.6494869593422112,0.6187259432300515,0.44539128091640395,0.4206735352595537,0.6669795064799521,0.615834343159146,0.4856065271924836,0.478871952133355,0.4211851860961053,0.40399593823322366,0.5012506441056287,0.536629338054897,0.49363421216461534,0.5554382897791091,0.07496617658654618,0.21149131387012146,0.46688248916418423,0.5233894801120149,0.40644410564778843,0.4248295876307378,0.29084276549096866,0.2830231760897065,0.4989018837320372,0.5231027389215012,0.29944056328010654,0.3164067693288835,-0.012197454871162224,-0.007893187365255433
M_TOTAL_STR_TOTAL,-0.013181435365860052,0.7573460894294339,0.7786352964442139,0.060480866532772425,-0.12123823873125494,-0.1026932245323748,0.015636612153485555,0.29884227908052574,-0.060480866532772425,-0.07826548295874443,-0.026794351449417195,0.024799050148896516,0.055649162417491974,0.897959449953024,0.9414757966581863,0.9035175642677761,1.0,0.23017987720175573,0.3086971371775217,0.836809392753471,0.9200165138897415,0.6585678099876106,0.6920961656764602,0.5253321403985808,0.5177945966358355,0.8169116045130356,0.8666752499775946,0.3981477704883994,0.4241236900070356,0.21433071055627148,0.2183502404710874,0.6568253627694485,0.7318185259470475,0.5828008315522266,0.7165421706295051,0.0698623256225093,0.23092315281636103,0.608742319933029,0.7155723683731565,0.5017948095695108,0.5457763077941422,0.41964725816811277,0.41363229194531437,0.6859674883135005,0.733964012769345,0.28418194183498763,0.310454499440848,-0.037328396191870665,-0.035288201683920266
M_TD_SUCC,-0.042412823225976885,0.26723657367416825,0.2798928544504401,0.18781344686628537,-0.1609607322534115,0.1460498032005315,0.056020241533758494,0.7105515699824067,-0.18781344686628537,-0.11009759410864552,0.11832025037576013,0.19335108370092957,-0.07269937282005219,0.11902141685203382,0.08031244123895502,0.33353435002178655,0.23017987720175573,1.0,0.7547518101093148,0.13100971309242915,0.08573955468046526,0.08065567195575424,0.0516598940803326,0.021810623828561096,0.012430854792442369,-0.02021083164598564,-0.011210754441256998,0.11251700950066856,0.12116938563977624,0.35481197305730505,0.36352712222463013,-0.016476425452325937,0.006891452803144242,0.06871185632827714,0.053188515363589074,-0.0835196285750886,-0.09745254252934696,-0.015849036012615884,0.011322540836947214,0.023205443890001527,0.02095427925193824,-0.04419778171010156,-0.040107348910483724,-0.03040127090275543,-0.0010704986056982602,0.0800064878836715,0.0859172164664844,-0.028512589983980974,-0.022819172035774597
M_TD_TOTAL,-0.08055751626301993,0.39972014203429646,0.4184091471619669,0.045704232446617726,-0.21280691779182892,0.06318458311749121,0.026183563569937958,0.605343137950073,-0.045704232446617726,-0.052193301381844456,0.07399098052989704,0.1222538822031666,-0.05104136156849218,0.1794821056628444,0.195994824714867,0.3387196874507346,0.3086971371775217,0.7547518101093148,1.0,0.1569060743662294,0.1884971373261329,0.14386404798283314,0.14968108782638176,0.12091753906337095,0.11826658312501023,0.0876232184593715,0.13371711170975092,0.17062291829371215,0.18957499888916887,0.19309045866477897,0.1951966391305,0.1702955076393475,0.18767112601962269,0.2135250102711412,0.21857369683930342,-0.05991630304440522,-0.10231059596402073,0.15659495104758642,0.18437001176782022,0.19072598786538367,0.18771820713883655,0.052455221412776455,0.04713542577322813,0.14339412784511313,0.16987573308695395,0.19967269628819048,0.19620542162047203,0.003980013497752042,0.005033278627577855
M_HEAD_SUCC,-0.040167042462821385,0.5584695657550005,0.5657291086027613,0.16523342296210014,0.010941677917517012,-0.11316638414371269,0.013181314776929368,0.169392395575305,-0.16523342296210014,-0.05971258425884299,-0.03662363485330224,-0.010734477015776633,-0.022949241210026675,0.9275023230598941,0.8507391918198459,0.7985481486081487,0.836809392753471,0.13100971309242915,0.1569060743662294,1.0,0.884171118246403,0.5295002965619334,0.5180940038447472,0.3246490486891084,0.2959773359189754,0.8295543182510248,0.7659367440878021,0.3395835209290489,0.35482430973017953,0.3163215449366294,0.2999468748849795,0.5926662849318887,0.6533615932152429,0.4798732762918067,0.6129852741836523,0.0005916356593659633,0.18049060267192715,0.568544712377171,0.6479693118670432,0.43186424106371407,0.4735976645240176,0.3472937498799365,0.3328288445519985,0.6346923550371756,0.664908200582684,0.22290046637905217,0.2506918070388086,-0.061314509358431434,-0.06969756288850854
