,ROUNDS,TIME,M_RES,M_KD,M_SIG_STR,M_TOTAL_STR,M_TD,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_KD,OP_SIG_STR,OP_TOTAL_STR,OP_TD,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
OP_TD,0.2806246171099814,0.28534231060348075,-0.258504304215616,-0.15262236322359707,0.013096666487946025,0.07496617658654618,-0.0835196285750886,0.1325705941942231,0.22562331440229164,-0.07286021484566445,0.0005916356593659633,0.0787129535210736,-0.029326432644421873,0.0022393454092558026,0.1322782423155363,-0.06388480225977748,0.258504304215616,-0.06414784017149876,0.15850727092659808,0.3238661441589228,1.0,0.12835782314872504,0.09315402206372309,0.7320968525923127,0.1650889211128142,0.11388406209930421,0.05933012519174327,0.032516224983345846,0.15898581103314788,0.39681907359989604
OP_SUB_ATT,0.05709450364158553,0.058906579780179796,-0.15122307827927692,-0.09258235629319406,-0.05697388497517117,0.018241212510887596,0.11832025037576013,0.019985657852437954,0.14703188163647313,0.16495792190976363,-0.03662363485330224,-0.04536434976693091,-0.07436999381121194,-0.10004980706212299,0.011914942096060265,0.09780960560637372,0.15122307827927692,-0.009904499728280268,-0.04385556859585176,0.030682450506353248,0.12835782314872504,1.0,0.1880479668760033,0.18713498546221138,-0.014879679545689462,-0.04678923842510451,-0.08442184569028098,-0.09093441609374263,0.024657169414661815,0.12862933298718393
OP_REV,0.07737190974257362,0.08320398584327134,-0.016248601200202505,-0.05127409557501781,-0.039381013981747585,0.08793855748852442,0.19335108370092957,0.12386880942799501,0.3344511361495164,0.20851865584021234,-0.010734477015776633,-0.031718082850991106,-0.09051346301218678,-0.07974004471267153,0.001429022866257417,0.10330156094470544,0.016248601200202505,-0.039401000532586744,-0.02488449487489319,0.05190249659942166,0.09315402206372309,0.1880479668760033,1.0,0.18841783875478296,-0.0005526730950495222,-0.04077415024382125,-0.055177693124869746,-0.06897039434903166,0.005519978166343993,0.14406751594274922
OP_CTRL,0.35107656902805295,0.3572569187646053,-0.2984713133314548,-0.17287493681958158,-0.0028056656769422134,0.10993388184707477,-0.07269937282005219,0.15246289569756116,0.1978401930495469,-0.04288286534859953,-0.022949241210026675,0.10425961001046545,-0.0518860777105612,-0.04320094784889134,0.22379175130364296,-0.04993641242399274,0.29847131333145493,-0.04371047552007911,0.19839979453036763,0.46222616719327647,0.7320968525923127,0.18713498546221138,0.18841783875478296,1.0,0.19678316727057035,0.16884387025229025,0.07314239968523387,-0.008536702510041327,0.3085391967136217,0.5730527957967231
OP_HEAD,0.5940199164933857,0.5946909921998876,-0.32074404029984166,-0.12851655032686068,0.6197179250018612,0.46688248916418423,-0.015849036012615884,-0.12274786460903742,-0.0025620640691996974,-0.05012819536220448,0.568544712377171,0.46186888715894203,0.3795442957721919,0.6710435603968409,0.21790900049577341,-0.11930185921270342,0.32074404029984166,0.1103553822826232,0.9333751016862867,0.829631465799302,0.1650889211128142,-0.014879679545689462,-0.0005526730950495222,0.19678316727057035,1.0,0.5709379259268483,0.3723258481897059,0.8702776232957827,0.39269566607061507,0.3390562205016112
OP_BODY,0.5497719311945721,0.560287323928333,-0.20436337220771486,-0.13018989841572026,0.5083023403027144,0.40644410564778843,0.023205443890001527,-0.10646864457354847,-0.025071450468892,0.03178908398722308,0.43186424106371407,0.44448721263604635,0.33959447603130843,0.5089352188958318,0.3421742704043703,-0.10076958348613205,0.20436337220771486,0.014076006268061679,0.7602314048915891,0.7004071476740056,0.11388406209930421,-0.04678923842510451,-0.04077415024382125,0.16884387025229025,0.5709379259268483,1.0,0.43345596529208547,0.6719874758330915,0.6106611762434884,0.15160888731427086
OP_LEG,0.4742685232595265,0.48007744496720073,-0.14789048636964405,-0.09541668010694014,0.41192480470484094,0.29084276549096866,-0.04419778171010156,-0.11170062541291118,-0.07251327141814584,-0.08728902860872331,0.3472937498799365,0.30857997237592816,0.3335940652885874,0.4763817107969277,0.11291374187826207,-0.1429922199073093,0.14789048636964405,-0.015527718464008435,0.6248377413416716,0.5288766080198448,0.05933012519174327,-0.08442184569028098,-0.055177693124869746,0.07314239968523387,0.3723258481897059,0.43345596529208547,1.0,0.6512453172892664,0.2458466788805613,-0.00885869338293062
OP_DIST,0.6244733690781668,0.6289890929038093,-0.21317343788166593,-0.09724346632918794,0.7007709764289197,0.4989018837320372,-0.03040127090275543,-0.1661036722269373,-0.06031633496010801,-0.08373572545537421,0.6346923550371756,0.4934983473861808,0.4799081371934126,0.7843294015599954,0.1662545674662531,-0.14845588216688468,0.21317343788166593,0.04084230511534971,0.9407208051710022,0.7547064704029222,0.032516224983345846,-0.09093441609374263,-0.06897039434903166,-0.008536702510041327,0.8702776232957827,0.6719874758330915,0.6512453172892664,1.0,0.2744038376955305,0.0006361295782020636
OP_CLIN,0.3618712401789802,0.37078768160844905,-0.1677153343885169,-0.11355184050508542,0.2869033964100189,0.29944056328010654,0.0800064878836715,-0.03566333693146077,0.02087926154615815,0.14432647569858123,0.22290046637905217,0.3637847223317768,0.13635721730745778,0.19254815949437284,0.5479569317414399,-0.04964555854510345,0.1677153343885169,0.0033153999684699875,0.4899312623149086,0.5589972342344063,0.15898581103314788,0.024657169414661815,0.005519978166343993,0.3085391967136217,0.39269566607061507,0.6106611762434884,0.2458466788805613,0.2744038376955305,1.0,0.13712288907583411
OP_GROUND,0.18453520177263466,0.17923198201177207,-0.36537421963235667,-0.15107118274353382,-0.06373354153833467,-0.012197454871162224,-0.028512589983980974,0.055406082050197966,0.09094453370648188,-0.025902358495282853,-0.061314509358431434,-0.005385350850231159,-0.07303319561905124,-0.06817996586988165,0.00955380529847674,-0.014136646701028911,0.36537421963235667,0.16322232290794272,0.27111772646028015,0.426333068917318,0.39681907359989604,0.12862933298718393,0.14406751594274922,0.5730527957967231,0.3390562205016112,0.15160888731427086,-0.00885869338293062,0.0006361295782020636,0.13712288907583411,1.0
