M_NAME,M_RES,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_KD,OP_SIG_STR,OP_TOTAL_STR,OP_TD,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Method_DQ,Method_Decision - Majority,Method_Decision - Split,Method_Decision - Unanimous,Method_KO/TKO,Method_Submission,Method_TKO - Doctor's Stoppage
Kelvin Gastelum,0.625,0.06929901350328425,3.7643993043620365,42.375,5.001850113356963,0.12145707602899383,45.2,0.03879681961873743,0.03134718222953517,30.25,2.499204484408957,0.762783918337907,0.5024109016151723,2.9131976970786404,0.46918406231158044,0.3820175449718158,0.06595571095571096,0.014166666666666668,2.8279585134178205,3.6214033113005715,0.10380261894967777,0.06633449883449882,0.020833333333333336,33.18333333333333,1.7015403163852,0.6405762938377766,0.4858419031948444,2.2990043511417406,0.3709461408857058,0.15800802139037431,0.0,0.0,0.375,0.1875,0.1875,0.25,0.0
Ketlen Vieira,0.8333333333333334,0.0,3.1374850634955957,42.333333333333336,5.150114959578729,0.11798561151079136,65.2,0.04708233413269384,0.0,26.85,2.762912968594197,0.2745720949013985,0.09999999999999999,2.376174112256587,0.5184652278177458,0.24284572342126298,0.03436426116838488,0.03436426116838488,4.081720190857623,5.563175026988719,0.017985611510791366,0.0,0.0,7.283333333333333,2.151931238514343,1.0542988289780546,0.8754901233652254,2.820505657329806,0.6952038369304555,0.5660106965973613,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0
Kevin Lee,0.6470588235294118,0.021134202183867558,3.9660625722181377,44.23529411764706,5.5998743565359215,0.2127010639613866,49.333333333333336,0.07586026040175836,0.009541651055326589,86.0,3.048573492790084,0.8407518194706798,0.0767372599573744,2.2820221953451476,0.34173275090366767,1.3423076259693225,0.03635104694149188,0.021054635446411576,3.23803423500693,3.853928732531684,0.04926765978658243,0.05179623525525663,0.008751769885467341,15.033333333333333,2.1181955550916785,0.6397501270666845,0.4800885528485664,2.4965374034951657,0.27810522912639124,0.4633916023853726,0.0,0.0,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.4117647058823529,0.058823529411764705
Khabib Nurmagomedov,1.0,0.046473593296335776,4.669934152600744,49.84615384615385,6.71670108800834,0.33292198772368586,47.416666666666664,0.05450919794805336,0.0,94.78333333333333,4.114721208050924,0.3638837105523584,0.1913292339974619,1.688854606302467,0.14725815091780076,2.8338213953804763,0.0,0.0,1.7488200653173012,2.559790901889945,0.010256410256410256,0.012502931035796305,0.0,2.533333333333333,0.8919290359803712,0.478816137095761,0.3780748922411685,1.5462232545380903,0.14760398348721382,0.054992827291996275,0.0,0.0,0.0,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.0
Lauren Murphy,0.6,0.008498583569405098,3.7124878728192576,38.0,6.56018614231248,0.07844559358908482,44.0,0.011741682974559686,0.006666666666666666,30.166666666666668,2.640333943487575,0.44320841838797564,0.6289455109437068,2.5604599152572844,0.5398761418789945,0.6121518156829782,0.026666666666666665,0.0,3.7331914203123624,5.451384617570037,0.06849858356940511,0.02,0.006666666666666666,24.533333333333335,2.2866979819919897,0.7363072370602791,0.7101862012600935,3.2861895581149696,0.27366852886405957,0.17333333333333334,0.0,0.0,0.3,0.4,0.2,0.1,0.0
Leon Edwards,0.8333333333333334,0.6416728463725127,4.053247881690204,53.166666666666664,5.337235600771063,0.09032343678366646,35.22222222222222,0.028624270877792003,0.016672846372512668,50.333333333333336,3.3500429897052904,0.4881785724515519,0.21502631953336182,2.0391720009159573,0.37058805479476337,1.6434878259794834,0.011111111111111112,0.005555555555555556,1.7971866544939912,4.03357745307815,0.10889506859473487,0.011111111111111112,0.0,42.9,0.9781956888916108,0.49811357397313616,0.3208773916292442,1.2230006483547975,0.3208526728058603,0.25333333333333335,0.0,0.0,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.0
Lina Lansberg,0.5,0.0,2.870994287034715,53.375,5.1787054381333055,0.041666666666666664,42.8,0.008333333333333333,0.008333333333333333,32.55,1.2826349454515065,1.2893155995417829,0.29904374204142636,0.8325978259266361,1.5467297944414125,0.4916666666666667,0.049926744248931884,0.0,4.158581616248027,7.5987450650697905,0.14163053044046864,0.016666666666666666,0.0,48.083333333333336,2.308055059809142,1.5504151978642753,0.30011135857461024,1.6503028559909931,1.4669343697301338,1.0413443905269006,0.0,0.0,0.0,0.75,0.25,0.0,0.0
Mackenzie Dern,0.8,0.08163265306122448,3.291248037676609,39.8,3.9600235478806907,0.013333333333333332,5.333333333333333,0.43974620617477755,0.05357142857142857,7.766666666666667,2.351465201465201,0.4923652537938253,0.44741758241758234,2.053118785975929,0.2533333333333333,0.9847959183673469,0.013333333333333332,0.013333333333333332,2.868971742543171,3.804283097854526,0.026666666666666665,0.0,0.0,4.466666666666667,1.6929801151229724,0.7374358974358974,0.43855572998430137,2.3346127681841966,0.5076923076923077,0.026666666666666665,0.0,0.0,0.2,0.2,0.0,0.6,0.0
Macy Chiasson,0.8,0.13793397049745632,6.081261182871189,54.0,8.83536700153276,0.04,12.333333333333334,0.05568445475638051,0.05429864253393666,23.583333333333332,3.6826481894272134,2.247345689613186,0.15126730383078962,2.6095740926187068,1.502030836473034,1.9696562537794478,0.013333333333333332,0.0,3.127963948591388,5.584798972950175,0.053815987933635,0.05499154864515858,0.0,12.1,1.8499832905668803,1.0311305051193087,0.2468501529051988,2.0277464675096155,0.7363562442793589,0.36386123680241333,0.0,0.0,0.0,0.4,0.4,0.2,0.0
Magomed Ankalaev,0.8333333333333334,0.15713949243361008,5.240135750269129,55.166666666666664,6.721057671994558,0.027009362303479955,33.0,0.0,0.02224694104560623,18.183333333333334,3.8544589705439223,0.8620796457753243,0.5235971339498823,3.8572133095962466,0.36367758004871137,1.0192448606241709,0.011123470522803115,0.0,2.450397589245019,2.839660875956451,0.02224694104560623,0.011123470522803115,0.0,2.5833333333333335,1.232384987096965,0.30914017372173497,0.9088724284263185,2.2899807371380536,0.1604168521069653,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0
