,Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
10314,10494,Decision - Split,3,900,0,Taila Santos,0,36,36%,57,1,100%,2,0,165.0,17,10,9,27,9,0,1,Mara Romero Borella,0,29,34%,84,2,40%,0,0,356.0,14,7,8,15,5,9,4.0
10315,10495,Submission,1,39,0,Nick Sanzo,0,0,,0,0,0%,0,0,,0,0,0,0,0,0,1,Jerry Bohlander,0,2,50%,3,1,100%,1,0,,2,0,0,0,2,0,1.0
10316,10496,KO/TKO,1,55,0,Bob Sapp,0,3,37%,3,0,,0,0,,3,0,0,3,0,0,1,Jan Nortje,1,15,62%,21,0,,0,0,,14,1,0,8,5,2,3.0
10317,10497,KO/TKO,1,60,0,Daniel Sarafian,0,0,,0,0,,0,0,0.0,0,0,0,0,0,0,1,Oluwale Bamgbose,1,8,40%,8,0,,0,0,5.0,6,0,2,3,0,5,1.0
10318,10498,KO/TKO,2,361,1,Daniel Sarafian,0,24,52%,24,0,0%,0,0,20.0,11,5,8,24,0,0,0,Antonio Dos Santos,1,37,50%,39,0,,0,0,77.0,23,5,9,32,3,2,1.0
10319,10499,Submission,1,172,0,Daniel Sarafian,0,3,75%,3,0,,1,0,0.0,3,0,0,3,0,0,1,Kiichi Kunimoto,0,5,50%,9,1,33%,1,0,112.0,1,0,4,5,0,0,1.0
10320,10500,Decision - Split,3,900,0,Daniel Sarafian,0,21,47%,31,0,0%,0,0,119.0,11,2,8,19,2,0,1,Cezar Ferreira,0,15,31%,56,3,75%,0,0,507.0,10,3,2,14,1,0,1.0
10321,10501,Submission,1,140,1,Daniel Sarafian,0,8,88%,19,1,100%,1,0,66.0,5,3,0,8,0,0,0,Eddie Mendez,0,4,33%,5,0,,0,0,22.0,3,0,1,4,0,0,1.0
10322,10502,Decision - Split,3,900,0,Daniel Sarafian,1,38,38%,41,0,0%,0,0,117.0,26,12,0,35,2,1,1,CB Dollaway,0,62,40%,73,2,33%,0,1,146.0,47,9,6,43,2,17,1.0
10323,10503,Decision - Unanimous,3,900,0,Diego Saraiva,0,11,37%,71,0,,2,1,131.0,8,1,2,6,0,5,1,Jeremy Stephens,0,50,55%,109,2,100%,0,1,591.0,39,7,4,11,0,39,1.0
10324,10504,Decision - Unanimous,3,900,0,Diego Saraiva,0,49,29%,78,0,0%,0,0,3.0,42,4,3,43,4,2,1,Jorge Gurgel,0,67,29%,120,0,,0,0,314.0,57,4,6,40,11,16,1.0
10325,10505,Decision - Unanimous,3,900,0,Diego Saraiva,0,14,43%,59,4,50%,0,0,344.0,12,1,1,10,0,4,1,Dustin Hazelett,0,44,41%,83,1,100%,1,0,254.0,39,2,3,18,5,21,1.0
10326,10506,Submission,3,799,0,Harris Sarmiento,0,15,27%,50,3,60%,0,0,,9,3,3,9,2,4,1,Josh Thomson,0,37,78%,64,3,37%,3,0,,8,12,17,15,17,5,1.0
10327,10507,KO/TKO,2,344,0,Harris Sarmiento,0,1,11%,11,0,,0,0,,1,0,0,1,0,0,1,Gilbert Melendez,0,29,50%,63,3,50%,0,0,,19,10,0,1,2,26,1.0
10328,10508,Decision - Unanimous,3,900,0,Yuki Sasaki,0,26,39%,32,0,,0,0,277.0,19,2,5,22,4,0,1,Dean Lister,0,24,47%,57,5,29%,2,1,348.0,19,2,3,13,3,8,4.0
10329,10509,Submission,1,138,0,Yuta Sasaki,0,7,63%,8,0,,0,0,84.0,6,1,0,3,0,4,1,Alexandre Pantoja,0,4,57%,7,0,0%,2,1,38.0,3,1,0,4,0,0,1.0
10330,10510,Submission,2,544,1,Yuta Sasaki,0,25,44%,34,5,71%,1,0,411.0,18,6,1,6,4,15,0,Jenel Lausa,0,7,50%,9,0,,0,0,12.0,4,2,1,5,0,2,1.0
10331,10511,Submission,1,270,0,Yuta Sasaki,0,16,50%,36,0,,0,0,0.0,6,9,1,14,2,0,1,Jussier Formiga,0,9,40%,12,1,100%,2,0,93.0,6,1,2,9,0,0,1.0
10332,10512,Submission,2,499,1,Yuta Sasaki,0,21,51%,25,2,66%,1,1,68.0,11,3,7,17,3,1,0,Justin Scoggins,1,37,59%,74,1,50%,0,0,330.0,28,5,4,15,2,20,1.0
10333,10513,Decision - Unanimous,3,900,0,Yuta Sasaki,0,34,32%,69,0,0%,0,2,68.0,25,8,1,26,1,7,1,Wilson Reis,0,34,40%,52,6,66%,2,0,526.0,19,5,10,26,1,7,1.0
10334,10514,Submission,2,510,1,Yuta Sasaki,0,7,30%,26,4,40%,1,0,45.0,5,2,0,3,0,4,0,Willie Gates,0,13,40%,31,0,,0,0,362.0,7,5,1,9,1,3,1.0
10335,10515,KO/TKO,2,386,0,Yuta Sasaki,0,16,39%,18,1,16%,0,0,52.0,3,3,10,15,1,0,1,Taylor Lapilus,1,31,51%,68,0,0%,0,0,140.0,24,5,2,10,15,6,1.0
10336,10516,Submission,2,553,0,Yuta Sasaki,0,8,42%,8,1,50%,1,0,35.0,4,1,3,6,2,0,1,Leandro Issa,0,25,67%,57,2,66%,1,1,412.0,10,0,15,12,7,6,1.0
10337,10517,Submission,1,66,1,Yuta Sasaki,0,5,62%,5,0,0%,1,0,32.0,5,0,0,5,0,0,0,Roland Delorme,0,1,25%,1,0,,0,0,0.0,1,0,0,1,0,0,1.0
10338,10518,Decision - Unanimous,3,900,0,Paul Sass,0,4,17%,23,0,,5,0,0.0,2,1,1,4,0,0,1,Danny Castillo,0,38,56%,67,4,66%,0,0,735.0,35,1,2,1,0,37,1.0
10339,10519,Submission,1,228,0,Paul Sass,0,6,60%,14,1,100%,0,0,175.0,4,2,0,0,0,6,1,Matt Wiman,0,3,75%,7,0,,2,0,40.0,2,0,1,1,0,2,1.0
10340,10520,Submission,1,114,1,Paul Sass,0,1,25%,2,0,,2,0,1.0,1,0,0,1,0,0,0,Jacob Volkmann,0,2,40%,3,0,,0,0,91.0,1,1,0,2,0,0,1.0
10341,10521,Submission,1,180,1,Paul Sass,0,2,12%,2,0,0%,3,0,5.0,2,0,0,2,0,0,0,Michael Johnson,0,8,30%,9,0,,0,0,37.0,6,0,2,7,0,1,1.0
10342,10522,Submission,1,285,1,Paul Sass,0,2,50%,11,0,0%,4,0,0.0,1,1,0,2,0,0,0,Mark Holst,0,3,30%,7,0,,0,0,198.0,1,1,1,1,0,2,1.0
10343,10523,KO/TKO,1,78,0,Takenori Sato,0,1,33%,2,0,0%,0,0,2.0,0,0,1,1,0,0,1,Hyun Gyu Lim,1,10,76%,15,0,,0,0,12.0,10,0,0,0,3,7,3.0
10344,10524,KO/TKO,1,52,0,Takenori Sato,0,0,,0,0,0%,0,0,0.0,0,0,0,0,0,0,1,Erick Silva,0,18,100%,21,0,,0,0,1.0,14,4,0,2,2,14,3.0
10345,10525,KO/TKO,1,48,1,Takashi Sato,1,18,85%,18,0,,0,0,11.0,18,0,0,3,0,15,0,Jason Witt,0,2,40%,2,0,0%,0,0,0.0,0,1,1,2,0,0,0.0
10346,10526,Submission,3,715,0,Takashi Sato,0,29,32%,34,1,50%,0,0,38.0,23,4,2,29,0,0,1,Belal Muhammad,0,49,46%,78,2,22%,1,0,151.0,40,7,2,42,3,4,0.0
10347,10527,KO/TKO,2,378,1,Takashi Sato,1,28,40%,33,0,,0,0,17.0,25,2,1,13,2,13,0,Ben Saunders,0,46,51%,47,0,,0,0,25.0,9,22,15,29,17,0,0.0
10348,10528,Decision - Unanimous,2,480,0,Townsend Saunders,0,34,53%,41,0,0%,0,0,,7,14,13,20,14,0,1,Mikey Burnett,1,42,31%,57,0,,1,0,,28,9,5,21,19,2,1.0
10349,10529,Decision - Split,2,480,0,Townsend Saunders,0,13,38%,46,2,66%,0,1,,7,5,1,0,6,7,1,Pat Miletich,0,18,66%,64,0,,1,1,,5,11,2,3,13,2,1.0
10350,10530,KO/TKO,2,595,0,Ben Saunders,0,12,52%,38,0,,4,0,10.0,10,2,0,5,0,7,1,Matt Brown,0,30,63%,40,2,66%,0,0,453.0,27,2,1,10,2,18,1.0
10351,10531,KO/TKO,2,378,0,Ben Saunders,0,46,51%,47,0,,0,0,25.0,9,22,15,29,17,0,1,Takashi Sato,1,28,40%,33,0,,0,0,17.0,25,2,1,13,2,13,1.0
10352,10532,KO/TKO,1,92,0,Ben Saunders,0,12,52%,12,0,,0,0,0.0,2,10,0,5,7,0,1,Lyman Good,1,14,63%,17,0,,0,0,5.0,10,2,2,2,9,3,1.0
10353,10533,Submission,2,582,0,Ben Saunders,0,1,50%,55,0,,0,0,0.0,0,1,0,1,0,0,1,Sergio Moraes,0,2,66%,17,2,100%,2,0,485.0,2,0,0,0,0,2,1.0
10354,10534,KO/TKO,1,116,1,Ben Saunders,1,10,47%,11,0,,0,0,0.0,7,3,0,1,7,2,0,Jake Ellenberger,0,5,55%,7,0,,0,0,40.0,4,1,0,1,4,0,1.0
10355,10535,KO/TKO,2,458,0,Ben Saunders,0,33,41%,34,0,,0,0,3.0,21,8,4,25,8,0,1,Alan Jouban,2,78,55%,78,0,,0,0,18.0,53,10,15,60,16,2,1.0
10356,10536,KO/TKO,2,449,0,Ben Saunders,0,19,27%,23,0,,0,0,0.0,9,7,3,14,0,5,1,Peter Sobotta,3,46,47%,50,0,,0,0,63.0,40,1,5,36,1,9,1.0
10357,10537,Decision - Unanimous,3,900,1,Ben Saunders,0,49,35%,67,0,,0,0,0.0,22,25,2,43,6,0,0,Court McGee,0,54,31%,77,1,33%,0,0,229.0,25,8,21,44,5,5,1.0
