,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
180,Submission,1,3:12,W,Christos Giagos,0,18 of 34,52%,37 of 54,1 of 1,100%,1,0,2:41,18 of 34,0 of 0,0 of 0,2 of 4,0 of 0,16 of 30,L,Jorge de Oliveira,0,0 of 4,0%,11 of 16,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 1,0 of 4,0 of 0,0 of 0
181,Submission,1,4:57,L,Christos Giagos,0,4 of 13,30%,6 of 15,0 of 0,---,0,0,0:00,4 of 12,0 of 1,0 of 0,4 of 13,0 of 0,0 of 0,W,Gilbert Burns,0,7 of 13,53%,18 of 26,1 of 1,100%,2,0,3:36,4 of 9,1 of 2,2 of 2,3 of 8,1 of 2,3 of 3
182,Decision - Split,3,15:00,L,Joe Giannetti,0,29 of 75,38%,61 of 108,1 of 6,16%,0,0,2:51,3 of 43,11 of 17,15 of 15,27 of 69,2 of 4,0 of 2,W,Michael Trizano,0,42 of 71,59%,86 of 116,0 of 0,---,1,0,5:39,9 of 26,7 of 18,26 of 27,40 of 67,0 of 0,2 of 4
183,KO/TKO,2,7:29,L,James Giboo,0,9 of 33,27%,14 of 38,0 of 6,0%,0,0,0:28,4 of 28,3 of 3,2 of 2,9 of 32,0 of 1,0 of 0,W,Brad Blackburn,4,53 of 87,60%,84 of 120,0 of 0,---,0,0,3:39,46 of 77,4 of 5,3 of 5,30 of 52,5 of 8,18 of 27
184,KO/TKO,1,4:58,L,Lance Gibson,0,6 of 8,75%,18 of 21,0 of 0,---,0,0,0:00,6 of 8,0 of 0,0 of 0,1 of 1,4 of 5,1 of 2,W,Evan Tanner,0,32 of 40,80%,47 of 55,1 of 1,100%,0,0,4:11,19 of 26,11 of 12,2 of 2,2 of 2,5 of 7,25 of 31
185,KO/TKO,3,13:35,W,Lance Gibson,1,33 of 53,62%,102 of 129,2 of 4,50%,1,0,10:57,15 of 31,10 of 12,8 of 10,2 of 12,20 of 25,11 of 16,L,Jermaine Andre,1,27 of 47,57%,39 of 59,0 of 0,---,0,0,0:16,13 of 29,5 of 5,9 of 13,9 of 18,15 of 22,3 of 7
186,Decision - Unanimous,3,15:00,L,Cody Gibson,0,30 of 137,21%,30 of 137,0 of 5,0%,0,0,0:16,23 of 124,4 of 9,3 of 4,27 of 134,3 of 3,0 of 0,W,Douglas Silva de Andrade,1,39 of 131,29%,45 of 137,0 of 1,0%,0,1,1:17,16 of 99,5 of 10,18 of 22,36 of 124,0 of 3,3 of 4
187,Submission,2,9:56,L,Cody Gibson,1,49 of 118,41%,61 of 131,1 of 2,50%,0,0,2:42,35 of 103,11 of 12,3 of 3,28 of 86,17 of 25,4 of 7,W,Manvel Gamburyan,0,11 of 52,21%,20 of 63,2 of 6,33%,1,0,1:32,5 of 43,2 of 4,4 of 5,8 of 43,3 of 8,0 of 1
188,KO/TKO,1,0:38,W,Cody Gibson,1,3 of 8,37%,3 of 8,0 of 0,---,0,0,0:04,2 of 6,0 of 1,1 of 1,2 of 5,1 of 2,0 of 1,L,Johnny Bedford,0,7 of 11,63%,7 of 11,0 of 0,---,0,0,0:00,5 of 9,2 of 2,0 of 0,3 of 4,4 of 7,0 of 0
189,Decision - Unanimous,3,15:00,L,Cody Gibson,0,18 of 53,33%,35 of 73,4 of 6,66%,1,0,3:11,9 of 36,8 of 13,1 of 4,5 of 26,11 of 23,2 of 4,W,Aljamain Sterling,0,46 of 89,51%,132 of 177,3 of 5,60%,3,0,7:55,23 of 57,17 of 22,6 of 10,11 of 39,25 of 37,10 of 13
