,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
223,Submission,2,9:31,W,Antonio Rodrigo Nogueira,1,20 of 49,40%,45 of 85,1 of 3,33%,3,0,4:05,19 of 48,0 of 0,1 of 1,17 of 40,0 of 2,3 of 7,L,Dave Herman,0,13 of 32,40%,14 of 33,2 of 2,100%,0,0,1:02,3 of 19,5 of 8,5 of 5,11 of 26,1 of 3,1 of 3
224,Submission,1,3:38,L,Antonio Rodrigo Nogueira,0,21 of 27,77%,42 of 48,0 of 1,0%,1,1,1:50,16 of 22,5 of 5,0 of 0,6 of 12,12 of 12,3 of 3,W,Frank Mir,0,6 of 8,75%,7 of 9,1 of 2,50%,1,1,1:13,1 of 3,3 of 3,2 of 2,0 of 2,6 of 6,0 of 0
225,KO/TKO,1,3:09,W,Antonio Rodrigo Nogueira,1,15 of 35,42%,17 of 37,0 of 2,0%,0,0,0:17,12 of 31,3 of 4,0 of 0,11 of 30,3 of 4,1 of 1,L,Brendan Schaub,0,11 of 45,24%,11 of 46,0 of 0,---,0,0,0:20,7 of 39,3 of 3,1 of 3,8 of 40,3 of 5,0 of 0
226,KO/TKO,1,2:20,L,Antonio Rodrigo Nogueira,0,3 of 22,13%,3 of 22,0 of 0,---,0,0,0:00,3 of 22,0 of 0,0 of 0,3 of 22,0 of 0,0 of 0,W,Cain Velasquez,1,23 of 45,51%,23 of 45,0 of 0,---,0,0,0:03,16 of 33,1 of 4,6 of 8,16 of 38,2 of 2,5 of 5
227,Decision - Unanimous,3,15:00,W,Antonio Rodrigo Nogueira,2,27 of 96,28%,133 of 215,0 of 0,---,3,2,5:35,21 of 88,4 of 6,2 of 2,25 of 90,1 of 5,1 of 1,L,Randy Couture,0,42 of 103,40%,65 of 126,0 of 1,0%,0,1,3:27,40 of 100,0 of 0,2 of 3,25 of 77,10 of 16,7 of 10
228,KO/TKO,2,6:54,L,Antonio Rodrigo Nogueira,0,10 of 38,26%,15 of 43,0 of 0,---,0,0,0:00,8 of 35,0 of 1,2 of 2,9 of 35,0 of 1,1 of 2,W,Frank Mir,3,37 of 101,36%,40 of 106,1 of 1,100%,0,0,0:41,30 of 91,2 of 3,5 of 7,25 of 79,2 of 3,10 of 19
229,Submission,3,11:28,W,Antonio Rodrigo Nogueira,0,28 of 70,40%,40 of 85,2 of 11,18%,1,1,0:31,22 of 63,2 of 3,4 of 4,27 of 68,1 of 2,0 of 0,L,Tim Sylvia,1,53 of 131,40%,87 of 167,0 of 0,---,0,0,2:00,51 of 129,2 of 2,0 of 0,42 of 112,2 of 5,9 of 14
230,Decision - Unanimous,3,15:00,W,Antonio Rodrigo Nogueira,0,55 of 120,45%,79 of 153,4 of 5,80%,2,0,3:41,44 of 109,11 of 11,0 of 0,45 of 108,8 of 8,2 of 4,L,Heath Herring,1,31 of 127,24%,47 of 144,0 of 0,---,0,2,1:42,19 of 109,3 of 8,9 of 10,21 of 100,5 of 15,5 of 12
231,Decision - Split,3,15:00,L,Rogerio Nogueira,0,46 of 100,46%,75 of 129,0 of 0,---,0,0,1:21,39 of 91,7 of 9,0 of 0,41 of 95,1 of 1,4 of 4,W,Mauricio Rua,0,54 of 103,52%,78 of 129,2 of 4,50%,0,0,2:57,27 of 72,11 of 14,16 of 17,45 of 91,6 of 6,3 of 6
232,KO/TKO,1,2:07,L,Rogerio Nogueira,0,6 of 24,25%,6 of 24,0 of 0,---,0,0,0:00,6 of 24,0 of 0,0 of 0,6 of 24,0 of 0,0 of 0,W,Ryan Spann,1,13 of 32,40%,13 of 32,1 of 2,50%,1,0,0:44,11 of 30,1 of 1,1 of 1,10 of 29,0 of 0,3 of 3
