,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
141,Decision - Unanimous,3,15:00,W,Casey Olson,0,42 of 67,62%,170 of 209,4 of 6,66%,0,0,--,42 of 67,0 of 0,0 of 0,0 of 2,0 of 0,42 of 65,L,Chris Solomon,0,0 of 6,0%,8 of 15,0 of 0,---,0,0,--,0 of 5,0 of 1,0 of 0,0 of 6,0 of 0,0 of 0
142,Submission,3,11:41,L,Alan Omer,0,35 of 66,53%,85 of 125,2 of 4,50%,0,0,3:27,27 of 54,5 of 8,3 of 4,20 of 45,9 of 15,6 of 6,W,Arnold Allen,0,23 of 75,30%,33 of 86,1 of 4,25%,1,0,2:13,20 of 67,3 of 8,0 of 0,18 of 65,1 of 6,4 of 4
143,Decision - Split,3,15:00,L,Alan Omer,0,58 of 101,57%,69 of 112,1 of 3,33%,0,0,3:01,33 of 70,10 of 15,15 of 16,26 of 58,22 of 27,10 of 16,W,Jim Alers,1,36 of 93,38%,97 of 163,2 of 5,40%,0,0,6:26,20 of 70,5 of 9,11 of 14,14 of 57,12 of 22,10 of 14
144,Decision - Unanimous,3,15:00,L,Daniel Omielanczuk,0,51 of 132,38%,68 of 149,0 of 1,0%,0,0,0:03,29 of 105,17 of 20,5 of 7,36 of 113,15 of 19,0 of 0,W,Curtis Blaydes,0,72 of 168,42%,94 of 194,0 of 13,0%,0,0,5:35,41 of 135,23 of 25,8 of 8,39 of 129,20 of 26,13 of 13
145,Decision - Split,3,15:00,L,Daniel Omielanczuk,0,54 of 93,58%,94 of 136,0 of 2,0%,0,0,0:35,25 of 61,19 of 21,10 of 11,35 of 71,19 of 22,0 of 0,W,Timothy Johnson,0,52 of 104,50%,102 of 168,1 of 5,20%,0,0,8:42,29 of 73,4 of 6,19 of 25,21 of 62,26 of 35,5 of 7
146,Submission,2,6:41,L,Daniel Omielanczuk,0,14 of 30,46%,21 of 39,0 of 1,0%,0,0,1:10,6 of 17,2 of 6,6 of 7,12 of 27,2 of 3,0 of 0,W,Stefan Struve,0,9 of 23,39%,12 of 26,2 of 4,50%,1,0,2:45,3 of 10,6 of 13,0 of 0,8 of 21,1 of 1,0 of 1
147,Decision - Majority,3,15:00,W,Daniel Omielanczuk,0,26 of 37,70%,100 of 111,1 of 1,100%,0,2,3:57,22 of 32,4 of 5,0 of 0,10 of 17,2 of 5,14 of 15,L,Aleksei Oleinik,0,8 of 28,28%,60 of 84,4 of 7,57%,2,1,9:23,6 of 25,1 of 1,1 of 2,2 of 19,1 of 1,5 of 8
148,Decision - Majority,3,11:31,W,Daniel Omielanczuk,0,77 of 135,57%,90 of 149,0 of 2,0%,0,0,0:45,30 of 79,23 of 31,24 of 25,51 of 100,23 of 30,3 of 5,L,Jarjis Danho,0,38 of 88,43%,55 of 108,0 of 0,---,0,0,2:45,25 of 71,11 of 13,2 of 4,19 of 58,19 of 30,0 of 0
149,KO/TKO,1,0:48,W,Daniel Omielanczuk,1,15 of 20,75%,15 of 20,0 of 0,---,0,0,0:00,14 of 19,0 of 0,1 of 1,14 of 18,0 of 0,1 of 2,L,Chris de la Rocha,0,1 of 12,8%,1 of 12,0 of 0,---,0,0,0:02,1 of 11,0 of 0,0 of 1,1 of 12,0 of 0,0 of 0
150,Decision - Unanimous,3,15:00,L,Daniel Omielanczuk,0,36 of 44,81%,81 of 91,1 of 3,33%,0,0,1:30,16 of 23,17 of 18,3 of 3,3 of 5,27 of 33,6 of 6,W,Anthony Hamilton,0,83 of 100,83%,113 of 131,3 of 4,75%,0,0,12:26,29 of 44,51 of 53,3 of 3,3 of 12,44 of 47,36 of 41
151,Decision - Unanimous,3,15:00,L,Daniel Omielanczuk,0,10 of 15,66%,41 of 50,0 of 0,---,0,0,0:05,5 of 10,4 of 4,1 of 1,7 of 11,1 of 1,2 of 3,W,Jared Rosholt,0,34 of 51,66%,124 of 151,3 of 5,60%,0,0,13:07,17 of 34,16 of 16,1 of 1,4 of 14,0 of 1,30 of 36
152,KO/TKO,3,13:18,W,Daniel Omielanczuk,1,49 of 73,67%,57 of 82,2 of 5,40%,1,0,4:22,22 of 41,7 of 10,20 of 22,28 of 50,18 of 19,3 of 4,L,Nandor Guelmino,0,56 of 99,56%,75 of 123,0 of 3,0%,0,0,3:48,16 of 48,29 of 39,11 of 12,29 of 68,17 of 19,10 of 12
153,Decision - Unanimous,3,15:00,L,Michihiro Omigawa,1,41 of 94,43%,71 of 127,0 of 2,0%,0,0,1:03,30 of 77,4 of 5,7 of 12,37 of 89,4 of 5,0 of 0,W,Manvel Gamburyan,0,52 of 116,44%,58 of 125,6 of 12,50%,0,0,4:42,37 of 97,7 of 10,8 of 9,47 of 108,5 of 8,0 of 0
