,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
233,KO/TKO,1,4:45,W,Joey Villasenor,2,9 of 22,40%,20 of 36,1 of 2,50%,0,0,2:31,8 of 21,1 of 1,0 of 0,6 of 17,2 of 4,1 of 1,L,Ryan Jensen,0,10 of 30,33%,14 of 34,0 of 0,---,0,0,0:06,6 of 24,1 of 3,3 of 3,9 of 29,1 of 1,0 of 0
234,KO/TKO,2,6:05,L,Joey Villasenor,0,19 of 37,51%,21 of 41,0 of 2,0%,1,1,--,15 of 32,4 of 5,0 of 0,17 of 34,1 of 1,1 of 2,W,Murilo Rua,1,23 of 39,58%,50 of 66,2 of 3,66%,1,0,--,15 of 31,6 of 6,2 of 2,23 of 37,0 of 0,0 of 2
235,TKO - Doctor's Stoppage,3,13:37,L,Danillo Villefort,0,43 of 114,37%,46 of 118,1 of 2,50%,1,0,1:02,18 of 80,12 of 19,13 of 15,30 of 92,4 of 11,9 of 11,W,Jesse Lennox,0,37 of 114,32%,39 of 121,1 of 2,50%,0,0,1:07,24 of 94,11 of 18,2 of 2,24 of 93,5 of 9,8 of 12
236,KO/TKO,1,3:53,W,Danillo Villefort,0,7 of 20,35%,36 of 64,1 of 1,100%,1,1,1:10,3 of 15,2 of 3,2 of 2,6 of 14,0 of 2,1 of 4,L,Mike Campbell,0,5 of 20,25%,10 of 25,1 of 1,100%,0,0,0:55,2 of 17,3 of 3,0 of 0,3 of 13,0 of 1,2 of 6
237,Decision - Split,3,15:00,L,Yuri Villefort,0,69 of 171,40%,70 of 173,1 of 7,14%,0,0,0:37,32 of 122,12 of 24,25 of 25,66 of 165,3 of 6,0 of 0,W,Sean Spencer,0,99 of 281,35%,100 of 282,0 of 0,---,0,0,0:00,89 of 266,7 of 12,3 of 3,90 of 268,8 of 12,1 of 1
238,Decision - Unanimous,3,15:00,L,Yuri Villefort,0,48 of 112,42%,49 of 114,3 of 6,50%,1,1,2:51,24 of 82,8 of 12,16 of 18,43 of 100,2 of 9,3 of 3,W,Nah-Shon Burrell,0,121 of 216,56%,126 of 222,0 of 0,---,1,1,2:19,95 of 186,16 of 20,10 of 10,80 of 171,13 of 13,28 of 32
239,Decision - Split,3,15:00,L,Yuri Villefort,0,26 of 46,56%,40 of 64,2 of 4,50%,0,1,5:13,10 of 28,10 of 12,6 of 6,8 of 19,4 of 5,14 of 22,W,Quinn Mulhern,0,24 of 56,42%,61 of 101,3 of 5,60%,0,1,7:03,16 of 46,4 of 5,4 of 5,13 of 44,5 of 5,6 of 7
240,KO/TKO,3,13:28,L,Marcos Vinicius,0,27 of 47,57%,45 of 68,0 of 0,---,0,0,2:41,12 of 28,7 of 8,8 of 11,11 of 30,7 of 7,9 of 10,W,Ali Bagautinov,2,38 of 68,55%,46 of 78,3 of 5,60%,1,0,4:06,29 of 56,5 of 7,4 of 5,12 of 34,7 of 7,19 of 27
241,KO/TKO,2,6:00,L,Marcos Vinicius,0,4 of 15,26%,5 of 16,0 of 0,---,1,0,0:00,2 of 7,0 of 6,2 of 2,3 of 14,1 of 1,0 of 0,W,Johnny Bedford,2,34 of 60,56%,45 of 72,1 of 1,100%,0,0,3:17,27 of 48,4 of 7,3 of 5,16 of 36,3 of 5,15 of 19
242,KO/TKO,3,11:04,W,Marcos Vinicius,0,28 of 58,48%,46 of 79,0 of 0,---,0,0,0:02,20 of 46,6 of 7,2 of 5,21 of 46,6 of 7,1 of 5,L,Wagner Campos,0,17 of 41,41%,58 of 97,2 of 2,100%,0,0,6:32,5 of 25,4 of 7,8 of 9,17 of 33,0 of 1,0 of 7
243,Decision - Unanimous,3,15:00,L,Brandon Visher,0,26 of 61,42%,66 of 105,0 of 3,0%,0,0,0:06,6 of 34,10 of 13,10 of 14,15 of 49,3 of 4,8 of 8,W,Yves Jabouin,0,43 of 79,54%,84 of 126,4 of 4,100%,1,0,6:44,16 of 48,13 of 14,14 of 17,36 of 68,1 of 1,6 of 10
244,KO/TKO,1,2:36,L,Brandon Visher,0,8 of 14,57%,8 of 14,0 of 0,---,0,0,0:00,6 of 10,0 of 0,2 of 4,8 of 13,0 of 1,0 of 0,W,Tyler Toner,1,31 of 34,91%,31 of 34,0 of 0,---,0,0,0:11,25 of 27,1 of 2,5 of 5,14 of 15,1 of 3,16 of 16
245,KO/TKO,1,4:45,W,Brandon Visher,0,23 of 51,45%,42 of 70,1 of 2,50%,0,0,2:30,19 of 45,2 of 3,2 of 3,10 of 28,1 of 6,12 of 17,L,Courtney Buck,0,10 of 34,29%,11 of 35,0 of 0,---,0,0,0:03,5 of 28,4 of 4,1 of 2,6 of 28,4 of 5,0 of 1
246,Decision - Unanimous,3,15:00,L,Falaniko Vitale,0,36 of 75,48%,73 of 120,1 of 3,33%,0,0,1:52,14 of 53,19 of 19,3 of 3,19 of 54,17 of 21,0 of 0,W,Frank Trigg,0,69 of 145,47%,156 of 259,2 of 9,22%,0,0,7:07,47 of 116,15 of 21,7 of 8,50 of 120,19 of 25,0 of 0
247,Other,2,7:12,L,Falaniko Vitale,0,29 of 50,58%,48 of 69,0 of 0,---,0,0,--,23 of 43,2 of 3,4 of 4,21 of 42,8 of 8,0 of 0,W,Trevor Prangley,0,46 of 75,61%,68 of 98,0 of 6,0%,0,0,--,22 of 48,20 of 22,4 of 5,18 of 42,28 of 33,0 of 0
248,KO/TKO,1,3:02,W,Falaniko Vitale,0,8 of 9,88%,51 of 56,1 of 1,100%,0,0,--,8 of 9,0 of 0,0 of 0,1 of 1,0 of 0,7 of 8,L,Ron Fields,0,1 of 3,33%,11 of 15,0 of 1,0%,0,0,--,0 of 2,1 of 1,0 of 0,0 of 2,1 of 1,0 of 0
249,KO/TKO,3,14:23,L,Falaniko Vitale,0,3 of 18,16%,10 of 27,0 of 1,0%,0,0,3:19,0 of 13,0 of 1,3 of 4,2 of 16,0 of 0,1 of 2,W,Matt Lindland,0,35 of 62,56%,93 of 121,1 of 3,33%,1,1,8:17,19 of 44,3 of 4,13 of 14,2 of 17,18 of 23,15 of 22
