,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
170,Submission,3,14:21,W,Montana De La Rosa,0,56 of 149,37%,86 of 179,0 of 6,0%,1,0,4:14,46 of 134,7 of 12,3 of 3,39 of 120,2 of 9,15 of 20,L,Rachael Ostovich,0,40 of 96,41%,48 of 106,0 of 0,---,1,0,0:02,23 of 69,15 of 23,2 of 4,36 of 92,4 of 4,0 of 0
171,Submission,1,2:00,W,Montana De La Rosa,0,6 of 17,35%,8 of 19,0 of 0,---,1,0,0:25,3 of 13,2 of 3,1 of 1,3 of 10,3 of 7,0 of 0,L,Christina Marks,0,10 of 17,58%,17 of 24,1 of 1,100%,0,0,0:41,6 of 13,2 of 2,2 of 2,7 of 12,3 of 4,0 of 1
172,Decision - Unanimous,3,15:00,L,Mark De La Rosa,0,37 of 118,31%,43 of 127,0 of 3,0%,0,0,3:49,14 of 80,12 of 19,11 of 19,32 of 102,5 of 16,0 of 0,W,Jordan Espinosa,0,126 of 185,68%,188 of 254,2 of 3,66%,0,0,2:22,93 of 149,16 of 17,17 of 19,69 of 117,39 of 46,18 of 22
173,KO/TKO,2,9:42,L,Mark De La Rosa,0,45 of 124,36%,45 of 124,0 of 2,0%,0,0,0:00,21 of 91,15 of 24,9 of 9,44 of 122,1 of 2,0 of 0,W,Raulian Paiva,1,54 of 126,42%,67 of 139,0 of 0,---,0,0,1:48,33 of 98,10 of 13,11 of 15,45 of 116,8 of 9,1 of 1
174,Decision - Unanimous,3,15:00,L,Mark De La Rosa,0,60 of 195,30%,63 of 198,1 of 7,14%,0,0,1:12,51 of 174,4 of 10,5 of 11,58 of 192,2 of 3,0 of 0,W,Kai Kara-France,1,91 of 193,47%,93 of 195,1 of 1,100%,0,0,0:20,58 of 146,9 of 19,24 of 28,85 of 183,2 of 3,4 of 7
175,Decision - Unanimous,3,15:00,L,Mark De La Rosa,0,26 of 84,30%,74 of 140,0 of 0,---,0,0,0:00,19 of 73,2 of 2,5 of 9,15 of 70,2 of 2,9 of 12,W,Alex Perez,0,60 of 110,54%,150 of 220,2 of 4,50%,0,0,8:14,37 of 74,2 of 5,21 of 31,26 of 64,1 of 2,33 of 44
176,Decision - Split,3,15:00,W,Mark De La Rosa,0,66 of 167,39%,68 of 169,0 of 7,0%,0,0,1:53,34 of 131,13 of 14,19 of 22,53 of 145,13 of 22,0 of 0,L,Joby Sanchez,0,55 of 124,44%,85 of 155,0 of 1,0%,0,0,1:20,45 of 111,9 of 12,1 of 1,51 of 117,4 of 7,0 of 0
177,Submission,2,7:00,W,Mark De La Rosa,0,25 of 44,56%,26 of 45,2 of 3,66%,1,0,2:13,20 of 36,4 of 6,1 of 2,17 of 34,3 of 5,5 of 5,L,Elias Garcia,0,19 of 54,35%,41 of 76,0 of 0,---,0,0,0:00,6 of 36,3 of 6,10 of 12,17 of 52,2 of 2,0 of 0
178,Submission,2,6:41,L,Mark De La Rosa,0,2 of 4,50%,4 of 6,0 of 0,---,0,0,0:31,0 of 2,2 of 2,0 of 0,1 of 3,0 of 0,1 of 1,W,Tim Elliott,0,12 of 24,50%,54 of 75,1 of 1,100%,2,2,5:34,10 of 18,1 of 2,1 of 4,1 of 6,0 of 0,11 of 18
179,KO/TKO,1,3:30,L,Mike de la Torre,0,0 of 3,0%,2 of 5,0 of 0,---,0,0,0:00,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0,W,Myles Jury,0,36 of 52,69%,44 of 62,1 of 1,100%,0,0,3:03,36 of 51,0 of 1,0 of 0,1 of 5,0 of 0,35 of 47
180,Submission,1,3:03,L,Mike de la Torre,0,6 of 18,33%,17 of 30,0 of 0,---,0,0,0:14,6 of 18,0 of 0,0 of 0,6 of 18,0 of 0,0 of 0,W,Godofredo Pepey,0,24 of 39,61%,27 of 43,1 of 2,50%,2,0,1:34,22 of 36,2 of 3,0 of 0,14 of 26,10 of 11,0 of 2
181,Decision - Split,3,15:00,W,Mike de la Torre,0,47 of 95,49%,107 of 161,0 of 2,0%,0,0,3:57,37 of 84,8 of 9,2 of 2,27 of 67,14 of 22,6 of 6,L,Yui Chul Nam,0,53 of 120,44%,97 of 167,1 of 21,4%,0,0,5:07,29 of 84,24 of 36,0 of 0,25 of 82,28 of 38,0 of 0
182,KO/TKO,1,0:16,L,Mike de la Torre,0,1 of 5,20%,1 of 5,0 of 0,---,0,0,0:00,0 of 3,1 of 2,0 of 0,1 of 5,0 of 0,0 of 0,W,Maximo Blanco,1,4 of 7,57%,4 of 7,0 of 0,---,0,0,0:01,3 of 6,1 of 1,0 of 0,4 of 7,0 of 0,0 of 0
183,KO/TKO,1,2:59,W,Mike de la Torre,1,16 of 30,53%,30 of 44,0 of 1,0%,0,0,0:32,15 of 29,1 of 1,0 of 0,4 of 13,4 of 7,8 of 10,L,Tiago dos Santos e Silva,0,7 of 12,58%,12 of 17,0 of 2,0%,0,0,1:24,1 of 4,2 of 4,4 of 4,5 of 9,2 of 3,0 of 0
184,Overturned,1,1:39,NC,Mike de la Torre,0,6 of 11,54%,8 of 14,0 of 1,0%,0,0,0:00,4 of 9,2 of 2,0 of 0,5 of 9,1 of 2,0 of 0,NC,Brian Ortega,0,3 of 6,50%,5 of 8,1 of 3,33%,2,0,1:12,1 of 4,2 of 2,0 of 0,2 of 5,1 of 1,0 of 0
