,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
177,Decision - Unanimous,3,15:00,W,Demian Maia,1,29 of 73,39%,83 of 128,2 of 3,66%,0,0,8:08,27 of 70,2 of 2,0 of 1,4 of 34,0 of 0,25 of 39,L,Alexander Yakovlev,0,22 of 43,51%,24 of 45,1 of 2,50%,0,1,1:28,8 of 20,1 of 3,13 of 20,20 of 39,1 of 2,1 of 2
178,Decision - Unanimous,3,15:00,L,Demian Maia,0,51 of 120,42%,81 of 152,2 of 22,9%,0,0,5:01,37 of 103,7 of 9,7 of 8,30 of 95,0 of 0,21 of 25,W,Rory MacDonald,0,75 of 213,35%,77 of 215,0 of 0,---,0,0,0:07,62 of 197,12 of 15,1 of 1,74 of 207,0 of 2,1 of 4
179,Decision - Split,5,25:00,L,Demian Maia,0,24 of 75,32%,98 of 160,3 of 7,42%,0,0,5:19,15 of 61,8 of 13,1 of 1,13 of 57,7 of 12,4 of 6,W,Jake Shields,0,35 of 112,31%,97 of 188,1 of 12,8%,0,1,11:43,19 of 87,3 of 8,13 of 17,21 of 95,1 of 3,13 of 14
180,Decision - Unanimous,3,15:00,W,Demian Maia,0,12 of 17,70%,63 of 74,7 of 17,41%,3,0,12:51,7 of 11,1 of 2,4 of 4,1 of 5,3 of 4,8 of 8,L,Jon Fitch,0,6 of 16,37%,36 of 55,0 of 0,---,1,0,0:33,3 of 12,1 of 2,2 of 2,5 of 14,0 of 1,1 of 1
181,Submission,1,2:30,W,Demian Maia,0,5 of 8,62%,9 of 12,3 of 5,60%,1,0,2:15,4 of 7,1 of 1,0 of 0,1 of 1,0 of 0,4 of 7,L,Rick Story,0,3 of 5,60%,10 of 12,0 of 0,---,0,0,0:00,1 of 3,2 of 2,0 of 0,2 of 4,1 of 1,0 of 0
182,KO/TKO,1,0:47,W,Demian Maia,0,1 of 1,100%,3 of 3,1 of 3,33%,0,0,0:41,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,L,Dong Hyun Kim,0,8 of 8,100%,8 of 8,0 of 0,---,0,0,0:00,7 of 7,0 of 0,1 of 1,1 of 1,4 of 4,3 of 3
183,Decision - Unanimous,3,15:00,L,Demian Maia,0,51 of 169,30%,60 of 178,0 of 7,0%,0,0,0:00,35 of 145,14 of 20,2 of 4,39 of 143,12 of 26,0 of 0,W,Chris Weidman,0,58 of 166,34%,68 of 178,4 of 6,66%,0,0,1:38,43 of 145,10 of 15,5 of 6,49 of 149,7 of 15,2 of 2
184,Decision - Unanimous,3,15:00,W,Demian Maia,0,24 of 67,35%,95 of 159,4 of 11,36%,0,0,9:13,16 of 58,5 of 6,3 of 3,10 of 45,5 of 7,9 of 15,L,Jorge Santiago,0,18 of 56,32%,29 of 70,0 of 1,0%,0,0,0:29,9 of 45,2 of 3,7 of 8,16 of 52,2 of 4,0 of 0
185,Decision - Unanimous,3,15:00,L,Demian Maia,0,32 of 78,41%,40 of 87,0 of 7,0%,2,0,1:53,19 of 61,8 of 11,5 of 6,20 of 64,12 of 14,0 of 0,W,Mark Munoz,0,44 of 81,54%,75 of 115,3 of 7,42%,1,0,5:22,19 of 54,12 of 14,13 of 13,18 of 50,3 of 4,23 of 27
186,Decision - Unanimous,3,15:00,W,Demian Maia,0,42 of 79,53%,71 of 111,5 of 13,38%,1,0,8:16,29 of 64,11 of 12,2 of 3,12 of 40,1 of 2,29 of 37,L,Kendall Grove,0,18 of 68,26%,50 of 106,0 of 0,---,0,0,0:00,17 of 66,1 of 1,0 of 1,13 of 62,4 of 5,1 of 1
