,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
254,Decision - Split,5,25:00,L,Thiago Santos,0,43 of 166,25%,43 of 166,0 of 0,---,0,0,0:00,9 of 92,7 of 21,27 of 53,42 of 159,1 of 7,0 of 0,W,Jon Jones,0,59 of 90,65%,59 of 90,0 of 1,0%,0,0,0:00,11 of 32,16 of 19,32 of 39,55 of 84,4 of 6,0 of 0
255,KO/TKO,3,10:39,W,Thiago Santos,1,52 of 104,50%,52 of 104,1 of 1,100%,0,0,0:08,21 of 58,5 of 10,26 of 36,38 of 82,1 of 1,13 of 21,L,Jan Blachowicz,0,20 of 53,37%,20 of 53,0 of 1,0%,0,0,0:05,7 of 31,6 of 12,7 of 10,19 of 51,1 of 2,0 of 0
256,KO/TKO,2,5:41,W,Thiago Santos,2,42 of 74,56%,65 of 97,1 of 3,33%,0,0,1:20,27 of 58,13 of 14,2 of 2,20 of 45,22 of 28,0 of 1,L,Jimi Manuwa,0,27 of 42,64%,30 of 45,0 of 2,0%,0,0,2:25,15 of 30,12 of 12,0 of 0,8 of 20,17 of 19,2 of 3
257,KO/TKO,3,15:00,W,Thiago Santos,0,100 of 152,65%,115 of 167,1 of 1,100%,0,1,1:52,65 of 109,25 of 33,10 of 10,41 of 82,46 of 48,13 of 22,L,Eryk Anders,0,32 of 67,47%,34 of 69,6 of 10,60%,1,0,5:53,26 of 59,5 of 7,1 of 1,17 of 48,6 of 9,9 of 10
258,Decision - Unanimous,3,15:00,W,Thiago Santos,0,69 of 153,45%,81 of 167,3 of 7,42%,1,0,9:37,50 of 131,14 of 17,5 of 5,20 of 44,2 of 5,47 of 104,L,Kevin Holland,0,31 of 55,56%,81 of 110,0 of 1,0%,1,0,1:10,20 of 41,6 of 9,5 of 5,17 of 39,1 of 1,13 of 15
259,KO/TKO,1,2:30,L,Thiago Santos,0,14 of 29,48%,14 of 29,0 of 0,---,0,0,0:00,4 of 17,2 of 3,8 of 9,14 of 29,0 of 0,0 of 0,W,David Branch,1,5 of 15,33%,5 of 15,0 of 1,0%,0,0,0:02,5 of 14,0 of 1,0 of 0,1 of 11,0 of 0,4 of 4
260,KO/TKO,2,6:03,W,Thiago Santos,2,58 of 82,70%,80 of 106,0 of 1,0%,0,1,3:19,33 of 56,20 of 21,5 of 5,13 of 24,3 of 4,42 of 54,L,Anthony Smith,0,10 of 22,45%,13 of 26,1 of 3,33%,0,0,0:50,10 of 22,0 of 0,0 of 0,8 of 20,1 of 1,1 of 1
261,KO/TKO,1,4:59,W,Thiago Santos,1,28 of 79,35%,29 of 80,0 of 0,---,0,0,0:03,22 of 66,5 of 9,1 of 4,17 of 56,4 of 7,7 of 16,L,Jack Hermansson,0,5 of 28,17%,5 of 28,0 of 2,0%,0,0,0:35,4 of 21,0 of 3,1 of 4,5 of 28,0 of 0,0 of 0
262,KO/TKO,2,7:04,W,Thiago Santos,0,60 of 115,52%,65 of 121,0 of 0,---,0,0,2:13,48 of 102,7 of 7,5 of 6,18 of 44,3 of 4,39 of 67,L,Gerald Meerschaert,0,15 of 29,51%,15 of 29,3 of 8,37%,0,0,1:10,13 of 24,2 of 5,0 of 0,7 of 19,4 of 6,4 of 4
263,KO/TKO,2,7:21,W,Thiago Santos,1,27 of 71,38%,32 of 76,1 of 2,50%,0,0,1:40,14 of 50,4 of 12,9 of 9,18 of 55,1 of 1,8 of 15,L,Jack Marshman,1,6 of 46,13%,11 of 51,0 of 0,---,0,0,0:04,6 of 44,0 of 1,0 of 1,5 of 42,1 of 4,0 of 0
