,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
310,Submission,2,9:43,L,Thiago Alves,0,19 of 53,35%,84 of 135,3 of 3,100%,0,0,6:28,12 of 44,5 of 5,2 of 4,4 of 16,6 of 9,9 of 28,W,Spencer Fisher,0,13 of 36,36%,22 of 46,1 of 2,50%,3,0,1:15,9 of 28,3 of 6,1 of 2,9 of 27,3 of 8,1 of 1
311,Decision - Unanimous,3,15:00,L,Amilcar Alves,0,10 of 20,50%,25 of 40,0 of 1,0%,0,0,0:00,5 of 12,4 of 4,1 of 4,6 of 14,3 of 3,1 of 3,W,Charlie Brenneman,0,26 of 35,74%,114 of 143,3 of 9,33%,0,0,12:17,6 of 15,6 of 6,14 of 14,2 of 9,1 of 1,23 of 25
312,Submission,3,13:11,L,Amilcar Alves,0,4 of 10,40%,12 of 20,0 of 0,---,0,0,0:00,3 of 7,0 of 1,1 of 2,1 of 6,0 of 1,3 of 3,W,Mike Pierce,0,31 of 47,65%,87 of 110,4 of 6,66%,2,0,11:59,11 of 25,9 of 9,11 of 13,0 of 4,4 of 6,27 of 37
313,Submission,2,6:22,L,Warlley Alves,0,3 of 11,27%,8 of 18,3 of 3,100%,2,0,4:18,1 of 8,0 of 0,2 of 3,1 of 9,0 of 0,2 of 2,W,Randy Brown,0,16 of 30,53%,24 of 38,1 of 1,100%,1,1,1:12,11 of 23,3 of 4,2 of 3,9 of 18,3 of 5,4 of 7
314,KO/TKO,3,14:13,W,Warlley Alves,1,72 of 157,45%,72 of 157,0 of 0,---,0,0,0:01,36 of 107,10 of 14,26 of 36,70 of 154,2 of 3,0 of 0,L,Sergio Moraes,0,20 of 62,32%,20 of 62,0 of 0,---,0,0,0:00,12 of 52,7 of 9,1 of 1,19 of 59,1 of 3,0 of 0
315,KO/TKO,2,7:28,L,Warlley Alves,0,28 of 64,43%,39 of 78,1 of 1,100%,0,0,1:03,20 of 47,6 of 13,2 of 4,18 of 51,10 of 11,0 of 2,W,James Krause,0,59 of 106,55%,79 of 126,0 of 4,0%,0,0,2:05,43 of 83,14 of 19,2 of 4,43 of 85,16 of 21,0 of 0
316,TKO - Doctor's Stoppage,2,10:00,W,Warlley Alves,0,29 of 50,58%,54 of 78,0 of 1,0%,0,0,3:24,7 of 20,12 of 19,10 of 11,10 of 28,19 of 22,0 of 0,L,Sultan Aliev,0,12 of 28,42%,14 of 30,1 of 3,33%,0,0,2:07,10 of 24,2 of 4,0 of 0,7 of 21,5 of 7,0 of 0
317,Decision - Unanimous,3,15:00,W,Warlley Alves,0,38 of 95,40%,55 of 113,2 of 7,28%,0,0,3:45,15 of 54,9 of 19,14 of 22,28 of 83,9 of 10,1 of 2,L,Salim Touahri,0,35 of 74,47%,49 of 88,0 of 0,---,0,0,0:17,12 of 39,21 of 33,2 of 2,20 of 59,15 of 15,0 of 0
318,Decision - Unanimous,3,15:00,L,Warlley Alves,0,25 of 73,34%,26 of 74,0 of 0,---,1,0,0:00,11 of 55,9 of 12,5 of 6,23 of 70,2 of 3,0 of 0,W,Kamaru Usman,0,71 of 150,47%,129 of 216,1 of 2,50%,1,0,5:22,58 of 127,11 of 20,2 of 3,59 of 123,3 of 5,9 of 22
319,Decision - Unanimous,3,15:00,L,Warlley Alves,0,79 of 136,58%,82 of 139,0 of 2,0%,1,0,1:55,52 of 105,24 of 27,3 of 4,70 of 124,9 of 12,0 of 0,W,Bryan Barberena,0,120 of 231,51%,164 of 281,0 of 1,0%,0,0,3:26,84 of 186,13 of 20,23 of 25,90 of 184,30 of 47,0 of 0
