,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
95,Decision - Unanimous,3,15:00,L,Renan Barao,0,43 of 137,31%,51 of 146,2 of 9,22%,0,0,2:29,28 of 110,7 of 16,8 of 11,38 of 129,5 of 8,0 of 0,W,Jeremy Stephens,0,55 of 140,39%,73 of 158,0 of 1,0%,0,0,2:23,38 of 113,7 of 11,10 of 16,50 of 134,5 of 6,0 of 0
96,KO/TKO,4,15:35,L,Renan Barao,0,62 of 181,34%,65 of 185,0 of 5,0%,0,0,0:09,31 of 129,19 of 37,12 of 15,50 of 155,12 of 26,0 of 0,W,TJ Dillashaw,0,117 of 212,55%,170 of 273,0 of 5,0%,0,0,5:37,84 of 172,19 of 22,14 of 18,93 of 179,23 of 32,1 of 1
97,Submission,3,13:53,W,Renan Barao,1,59 of 138,42%,64 of 143,2 of 4,50%,1,0,2:22,29 of 98,18 of 27,12 of 13,34 of 105,25 of 32,0 of 1,L,Mitch Gagnon,0,58 of 111,52%,66 of 119,0 of 7,0%,0,0,4:15,32 of 76,17 of 26,9 of 9,45 of 95,13 of 16,0 of 0
98,KO/TKO,5,22:26,L,Renan Barao,0,64 of 273,23%,68 of 277,0 of 0,---,0,0,0:00,42 of 226,13 of 34,9 of 13,61 of 270,3 of 3,0 of 0,W,TJ Dillashaw,2,140 of 309,45%,169 of 344,0 of 3,0%,2,0,3:38,99 of 260,17 of 21,24 of 28,120 of 277,1 of 2,19 of 30
99,KO/TKO,1,3:42,W,Renan Barao,1,17 of 46,36%,37 of 70,0 of 0,---,0,0,0:14,13 of 38,1 of 5,3 of 3,10 of 29,5 of 12,2 of 5,L,Urijah Faber,0,8 of 31,25%,9 of 32,0 of 2,0%,0,0,0:00,3 of 22,3 of 6,2 of 3,5 of 24,3 of 7,0 of 0
100,KO/TKO,2,5:35,W,Renan Barao,1,28 of 45,62%,29 of 46,0 of 1,0%,0,0,0:05,16 of 33,5 of 5,7 of 7,25 of 41,0 of 0,3 of 4,L,Eddie Wineland,0,11 of 53,20%,11 of 53,0 of 0,---,0,0,0:19,5 of 43,4 of 7,2 of 3,11 of 53,0 of 0,0 of 0
101,Submission,4,18:57,W,Renan Barao,0,36 of 112,32%,43 of 121,4 of 10,40%,1,0,3:58,28 of 97,2 of 9,6 of 6,25 of 88,6 of 16,5 of 8,L,Michael McDonald,0,26 of 92,28%,29 of 95,0 of 1,0%,0,0,0:00,26 of 92,0 of 0,0 of 0,18 of 77,7 of 14,1 of 1
102,Decision - Unanimous,5,25:00,W,Renan Barao,0,85 of 290,29%,85 of 290,0 of 0,---,0,0,0:00,55 of 236,10 of 23,20 of 31,81 of 282,4 of 8,0 of 0,L,Urijah Faber,0,60 of 178,33%,62 of 180,0 of 6,0%,0,0,0:08,38 of 141,12 of 26,10 of 11,57 of 170,3 of 8,0 of 0
103,Decision - Unanimous,3,15:00,W,Renan Barao,0,104 of 299,34%,129 of 324,0 of 0,---,0,0,1:55,68 of 250,16 of 23,20 of 26,102 of 296,2 of 3,0 of 0,L,Scott Jorgensen,0,73 of 206,35%,82 of 215,0 of 7,0%,0,0,0:11,52 of 179,14 of 18,7 of 9,72 of 205,1 of 1,0 of 0
104,Submission,1,4:09,W,Renan Barao,1,37 of 98,37%,38 of 99,0 of 1,0%,1,0,0:46,29 of 82,3 of 9,5 of 7,33 of 84,0 of 0,4 of 14,L,Brad Pickett,0,10 of 56,17%,10 of 56,0 of 0,---,0,0,0:00,9 of 50,1 of 6,0 of 0,10 of 56,0 of 0,0 of 0
105,Decision - Unanimous,3,15:00,W,Renan Barao,0,46 of 88,52%,96 of 139,6 of 7,85%,0,0,8:33,20 of 55,17 of 19,9 of 14,42 of 83,1 of 1,3 of 4,L,Cole Escovedo,0,29 of 65,44%,48 of 84,0 of 1,0%,0,0,0:12,10 of 42,14 of 15,5 of 8,27 of 60,1 of 3,1 of 2
106,Submission,1,3:47,W,Renan Barao,0,2 of 13,15%,16 of 31,0 of 0,---,2,0,3:09,2 of 11,0 of 2,0 of 0,0 of 8,0 of 0,2 of 5,L,Chris Cariaso,0,2 of 6,33%,7 of 11,0 of 0,---,0,0,0:00,1 of 3,1 of 1,0 of 2,1 of 5,0 of 0,1 of 1
107,Submission,3,12:29,W,Renan Barao,0,28 of 71,39%,66 of 110,1 of 1,100%,2,1,4:24,14 of 53,11 of 12,3 of 6,8 of 45,16 of 20,4 of 6,L,Anthony Leone,0,22 of 45,48%,48 of 71,1 of 6,16%,0,0,4:59,10 of 28,9 of 14,3 of 3,9 of 28,13 of 17,0 of 0
108,Decision - Unanimous,3,15:00,L,Maycee Barber,0,16 of 31,51%,25 of 45,0 of 0,---,1,3,2:16,15 of 29,1 of 2,0 of 0,9 of 19,0 of 0,7 of 12,W,Roxanne Modafferi,1,19 of 43,44%,112 of 155,1 of 1,100%,0,1,10:30,17 of 41,2 of 2,0 of 0,11 of 31,1 of 1,7 of 11
109,KO/TKO,1,3:04,W,Maycee Barber,0,34 of 68,50%,40 of 74,0 of 0,---,0,0,0:22,31 of 65,3 of 3,0 of 0,15 of 46,16 of 19,3 of 3,L,Gillian Robertson,0,12 of 28,42%,15 of 31,0 of 2,0%,0,0,0:44,8 of 21,2 of 3,2 of 4,11 of 27,1 of 1,0 of 0
110,KO/TKO,2,8:01,W,Maycee Barber,0,55 of 110,50%,59 of 115,0 of 0,---,0,0,0:02,34 of 83,6 of 8,15 of 19,39 of 87,16 of 23,0 of 0,L,JJ Aldrich,0,25 of 85,29%,28 of 88,0 of 0,---,0,0,0:39,23 of 82,1 of 2,1 of 1,19 of 74,5 of 9,1 of 2
111,KO/TKO,2,7:01,W,Maycee Barber,0,68 of 97,70%,78 of 107,1 of 5,20%,0,0,3:33,46 of 73,16 of 18,6 of 6,20 of 38,25 of 27,23 of 32,L,Hannah Cifers,0,41 of 69,59%,60 of 88,0 of 0,---,0,0,0:28,10 of 32,19 of 24,12 of 13,17 of 41,24 of 28,0 of 0
112,Decision - Unanimous,3,15:00,W,Bryan Barberena,0,63 of 126,50%,175 of 250,0 of 1,0%,2,0,1:57,49 of 110,10 of 11,4 of 5,40 of 89,18 of 30,5 of 7,L,Anthony Ivy,0,36 of 84,42%,54 of 105,5 of 24,20%,0,0,5:50,26 of 72,10 of 12,0 of 0,19 of 53,11 of 21,6 of 10
113,KO/TKO,3,12:54,L,Bryan Barberena,0,47 of 101,46%,122 of 178,0 of 0,---,0,0,0:59,15 of 55,11 of 16,21 of 30,29 of 77,15 of 20,3 of 4,W,Randy Brown,1,89 of 152,58%,91 of 154,0 of 0,---,0,0,2:38,44 of 97,31 of 41,14 of 14,59 of 119,30 of 33,0 of 0
114,KO/TKO,3,14:54,L,Bryan Barberena,1,169 of 355,47%,195 of 382,0 of 1,0%,0,0,0:31,146 of 324,16 of 23,7 of 8,147 of 319,14 of 21,8 of 15,W,Vicente Luque,1,163 of 241,67%,164 of 242,0 of 0,---,2,1,0:41,132 of 209,17 of 17,14 of 15,140 of 216,16 of 17,7 of 8
115,KO/TKO,1,2:26,W,Bryan Barberena,2,19 of 35,54%,31 of 47,0 of 0,---,0,0,0:00,17 of 33,1 of 1,1 of 1,7 of 21,2 of 2,10 of 12,L,Jake Ellenberger,0,12 of 14,85%,12 of 14,0 of 0,---,0,0,0:21,6 of 8,2 of 2,4 of 4,10 of 11,2 of 3,0 of 0
116,Decision - Unanimous,3,15:00,L,Bryan Barberena,1,44 of 87,50%,115 of 163,0 of 0,---,1,0,1:25,28 of 65,9 of 10,7 of 12,17 of 56,23 of 24,4 of 7,W,Leon Edwards,0,23 of 51,45%,58 of 87,3 of 6,50%,3,0,8:08,13 of 40,3 of 4,7 of 7,21 of 49,2 of 2,0 of 0
117,KO/TKO,1,3:30,W,Bryan Barberena,1,28 of 45,62%,28 of 45,0 of 0,---,0,0,0:06,22 of 36,1 of 1,5 of 8,16 of 29,6 of 9,6 of 7,L,Joe Proctor,0,8 of 23,34%,8 of 23,0 of 0,---,0,0,0:00,4 of 16,2 of 5,2 of 2,8 of 23,0 of 0,0 of 0
118,Decision - Unanimous,3,15:00,L,Bryan Barberena,0,41 of 111,36%,100 of 172,0 of 0,---,0,0,0:00,29 of 98,2 of 3,10 of 10,34 of 100,5 of 9,2 of 2,W,Colby Covington,0,76 of 141,53%,96 of 167,12 of 17,70%,0,0,9:07,56 of 117,12 of 16,8 of 8,59 of 123,10 of 11,7 of 7
119,Decision - Unanimous,3,15:00,W,Bryan Barberena,0,120 of 231,51%,164 of 281,0 of 1,0%,0,0,3:26,84 of 186,13 of 20,23 of 25,90 of 184,30 of 47,0 of 0,L,Warlley Alves,0,79 of 136,58%,82 of 139,0 of 2,0%,1,0,1:55,52 of 105,24 of 27,3 of 4,70 of 124,9 of 12,0 of 0
120,Submission,2,8:06,W,Bryan Barberena,0,26 of 48,54%,67 of 94,1 of 1,100%,1,0,3:15,23 of 40,1 of 3,2 of 5,7 of 24,2 of 6,17 of 18,L,Sage Northcutt,0,18 of 45,40%,27 of 56,1 of 5,20%,0,0,1:24,11 of 36,5 of 6,2 of 3,12 of 37,5 of 7,1 of 1
121,Decision - Unanimous,3,15:00,L,Bryan Barberena,0,94 of 202,46%,99 of 207,1 of 3,33%,0,0,0:34,36 of 122,21 of 34,37 of 46,72 of 173,22 of 27,0 of 2,W,Chad Laprise,0,84 of 172,48%,84 of 172,0 of 1,0%,0,0,0:10,52 of 132,21 of 29,11 of 11,78 of 163,6 of 9,0 of 0
122,KO/TKO,3,13:24,W,Bryan Barberena,1,63 of 122,51%,106 of 172,0 of 0,---,0,0,2:24,50 of 106,7 of 7,6 of 9,32 of 72,10 of 22,21 of 28,L,Joe Ellenberger,0,24 of 60,40%,35 of 71,3 of 5,60%,0,0,2:18,13 of 48,8 of 9,3 of 3,12 of 36,10 of 21,2 of 3
123,Decision - Unanimous,3,15:00,W,Edson Barboza,2,32 of 74,43%,34 of 77,0 of 0,---,1,0,1:38,8 of 42,18 of 23,6 of 9,31 of 69,0 of 1,1 of 4,L,Makwan Amirkhani,0,11 of 39,28%,25 of 59,3 of 6,50%,0,0,3:13,10 of 36,1 of 3,0 of 0,10 of 36,0 of 1,1 of 2
124,Decision - Split,3,15:00,L,Edson Barboza,1,80 of 144,55%,87 of 152,0 of 0,---,0,0,1:55,40 of 86,25 of 39,15 of 19,54 of 107,8 of 9,18 of 28,W,Dan Ige,0,79 of 164,48%,100 of 189,1 of 4,25%,0,0,2:06,54 of 132,17 of 24,8 of 8,67 of 149,5 of 8,7 of 7
125,Decision - Split,3,15:00,L,Edson Barboza,0,60 of 114,52%,77 of 133,1 of 3,33%,0,0,1:49,27 of 74,19 of 24,14 of 16,55 of 109,0 of 0,5 of 5,W,Paul Felder,0,56 of 154,36%,75 of 174,0 of 2,0%,0,0,2:03,41 of 137,9 of 10,6 of 7,51 of 147,1 of 1,4 of 6
126,KO/TKO,1,2:30,L,Edson Barboza,0,13 of 32,40%,13 of 32,0 of 0,---,0,0,0:00,6 of 21,3 of 5,4 of 6,11 of 30,2 of 2,0 of 0,W,Justin Gaethje,1,20 of 35,57%,22 of 37,0 of 0,---,0,0,0:44,13 of 28,2 of 2,5 of 5,12 of 22,8 of 13,0 of 0
127,KO/TKO,3,12:19,W,Edson Barboza,1,126 of 226,55%,127 of 227,0 of 1,0%,0,0,1:43,71 of 160,36 of 43,19 of 23,117 of 215,9 of 11,0 of 0,L,Dan Hooker,0,81 of 204,39%,111 of 234,0 of 1,0%,0,0,0:05,59 of 161,12 of 29,10 of 14,78 of 198,3 of 6,0 of 0
128,TKO - Doctor's Stoppage,5,22:18,L,Edson Barboza,0,51 of 106,48%,64 of 119,0 of 1,0%,0,0,0:10,26 of 73,20 of 26,5 of 7,47 of 102,2 of 2,2 of 2,W,Kevin Lee,0,142 of 241,58%,233 of 344,4 of 9,44%,0,0,15:01,138 of 236,3 of 4,1 of 1,46 of 122,0 of 0,96 of 119
129,Decision - Unanimous,3,15:00,L,Edson Barboza,0,25 of 76,32%,25 of 77,0 of 0,---,0,0,0:00,6 of 47,11 of 19,8 of 10,23 of 74,2 of 2,0 of 0,W,Khabib Nurmagomedov,0,89 of 177,50%,154 of 246,4 of 13,30%,0,0,10:32,77 of 162,8 of 11,4 of 4,32 of 96,2 of 3,55 of 78
130,KO/TKO,2,8:35,W,Edson Barboza,1,30 of 82,36%,31 of 83,0 of 0,---,0,0,0:03,13 of 61,13 of 17,4 of 4,29 of 81,0 of 0,1 of 1,L,Beneil Dariush,0,51 of 121,42%,51 of 121,0 of 2,0%,0,0,0:00,31 of 94,10 of 15,10 of 12,48 of 116,3 of 5,0 of 0
131,Decision - Unanimous,3,15:00,W,Edson Barboza,0,56 of 136,41%,63 of 144,1 of 1,100%,0,0,0:38,23 of 84,10 of 22,23 of 30,52 of 127,0 of 0,4 of 9,L,Gilbert Melendez,0,39 of 129,30%,42 of 135,0 of 5,0%,0,0,0:04,35 of 120,3 of 7,1 of 2,36 of 125,1 of 2,2 of 2
132,Decision - Unanimous,3,15:00,W,Edson Barboza,0,73 of 164,44%,73 of 164,0 of 0,---,0,0,0:00,27 of 101,15 of 26,31 of 37,73 of 163,0 of 1,0 of 0,L,Anthony Pettis,0,48 of 131,36%,48 of 131,0 of 3,0%,0,0,0:00,35 of 116,5 of 7,8 of 8,48 of 131,0 of 0,0 of 0
133,Submission,2,7:54,L,Edson Barboza,0,41 of 85,48%,45 of 91,2 of 3,66%,0,0,1:57,20 of 53,19 of 30,2 of 2,37 of 80,0 of 0,4 of 5,W,Tony Ferguson,0,61 of 116,52%,69 of 127,0 of 2,0%,1,0,0:21,42 of 95,10 of 11,9 of 10,45 of 99,1 of 1,15 of 16
134,Decision - Unanimous,3,15:00,W,Edson Barboza,0,64 of 135,47%,64 of 135,0 of 1,0%,0,0,0:00,19 of 78,22 of 29,23 of 28,64 of 135,0 of 0,0 of 0,L,Paul Felder,0,47 of 150,31%,50 of 153,0 of 1,0%,0,0,0:18,22 of 114,9 of 15,16 of 21,45 of 147,2 of 3,0 of 0
135,Decision - Unanimous,3,15:00,L,Edson Barboza,0,31 of 98,31%,31 of 98,0 of 2,0%,0,0,0:00,15 of 70,16 of 25,0 of 3,31 of 97,0 of 1,0 of 0,W,Michael Johnson,0,38 of 187,20%,43 of 192,1 of 1,100%,0,0,1:01,27 of 157,4 of 19,7 of 11,36 of 182,0 of 1,2 of 4
136,Decision - Unanimous,3,15:00,W,Edson Barboza,0,54 of 133,40%,54 of 133,0 of 0,---,0,0,0:00,25 of 87,10 of 21,19 of 25,52 of 129,0 of 2,2 of 2,L,Bobby Green,0,50 of 123,40%,50 of 123,0 of 2,0%,0,0,0:02,27 of 86,10 of 19,13 of 18,50 of 123,0 of 0,0 of 0
