,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
298,KO/TKO,1,1:07,W,Brian Foster,1,17 of 27,62%,20 of 32,0 of 0,---,0,0,0:10,15 of 25,1 of 1,1 of 1,6 of 8,0 of 0,11 of 19,L,Forrest Petz,0,1 of 7,14%,1 of 7,0 of 0,---,0,0,0:00,1 of 6,0 of 1,0 of 0,1 of 7,0 of 0,0 of 0
299,Submission,1,1:41,L,Brian Foster,0,5 of 22,22%,6 of 23,1 of 1,100%,0,0,0:16,5 of 21,0 of 0,0 of 1,4 of 21,0 of 0,1 of 1,W,Chris Lytle,0,2 of 14,14%,2 of 14,0 of 0,---,1,0,0:00,2 of 14,0 of 0,0 of 0,2 of 14,0 of 0,0 of 0
300,KO/TKO,2,8:25,W,Brian Foster,0,28 of 63,44%,57 of 93,2 of 4,50%,0,0,2:56,22 of 56,3 of 4,3 of 3,7 of 24,2 of 4,19 of 35,L,Brock Larson,0,6 of 14,42%,23 of 31,1 of 3,33%,1,0,0:59,5 of 12,1 of 2,0 of 0,2 of 8,3 of 4,1 of 2
301,Submission,2,6:09,L,Brian Foster,0,6 of 47,12%,16 of 57,0 of 2,0%,1,0,0:05,4 of 42,2 of 4,0 of 1,5 of 41,1 of 5,0 of 1,W,Rick Story,0,18 of 59,30%,35 of 78,3 of 4,75%,1,0,4:23,13 of 53,4 of 5,1 of 1,9 of 43,2 of 3,7 of 13
302,KO/TKO,1,0:37,L,Xavier Foupa-Pokam,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,W,Drew McFedries,2,8 of 12,66%,8 of 12,0 of 0,---,0,0,0:10,8 of 12,0 of 0,0 of 0,2 of 3,3 of 3,3 of 6
303,Decision - Unanimous,3,15:00,L,Xavier Foupa-Pokam,0,23 of 53,43%,32 of 62,0 of 0,---,0,1,0:06,8 of 34,12 of 15,3 of 4,18 of 45,4 of 6,1 of 2,W,Denis Kang,0,31 of 65,47%,103 of 141,5 of 6,83%,1,0,8:00,25 of 55,6 of 10,0 of 0,9 of 34,3 of 7,19 of 24
304,KO/TKO,2,8:17,L,Brandon Foxworth,0,11 of 34,32%,24 of 47,0 of 0,---,0,0,1:07,3 of 24,5 of 5,3 of 5,3 of 22,7 of 11,1 of 1,W,Manny Tapia,1,38 of 77,49%,125 of 165,1 of 1,100%,0,0,5:52,33 of 68,5 of 9,0 of 0,12 of 26,4 of 7,22 of 44
305,KO/TKO,2,8:26,L,Hermes Franca,0,11 of 71,15%,12 of 72,0 of 0,---,0,0,0:00,5 of 61,1 of 2,5 of 8,10 of 66,1 of 5,0 of 0,W,Tyson Griffin,1,67 of 149,44%,72 of 154,0 of 0,---,0,0,0:17,38 of 110,7 of 11,22 of 28,52 of 118,2 of 5,13 of 26
306,Decision - Unanimous,3,15:00,W,Hermes Franca,0,60 of 122,49%,65 of 127,0 of 0,---,0,0,0:02,24 of 71,1 of 4,35 of 47,60 of 121,0 of 1,0 of 0,L,Marcus Aurelio,0,40 of 104,38%,55 of 120,1 of 9,11%,0,0,1:50,34 of 97,2 of 3,4 of 4,37 of 100,1 of 2,2 of 2
307,Decision - Unanimous,3,15:00,L,Hermes Franca,0,18 of 38,47%,63 of 94,0 of 0,---,1,0,0:00,13 of 31,2 of 3,3 of 4,14 of 30,4 of 8,0 of 0,W,Frankie Edgar,0,69 of 112,61%,124 of 171,10 of 11,90%,0,0,12:08,51 of 94,11 of 11,7 of 7,10 of 19,5 of 8,54 of 85
