,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
150,KO/TKO,2,7:37,W,Tim Kennedy,0,18 of 29,62%,29 of 42,3 of 5,60%,0,0,--,12 of 23,3 of 3,3 of 3,6 of 15,0 of 0,12 of 14,L,Nick Thompson,0,3 of 9,33%,3 of 9,0 of 0,---,2,1,--,2 of 8,0 of 0,1 of 1,3 of 9,0 of 0,0 of 0
151,KO/TKO,1,1:03,W,Tim Kennedy,0,7 of 11,63%,8 of 12,1 of 1,100%,0,0,--,7 of 11,0 of 0,0 of 0,0 of 0,0 of 0,7 of 11,L,Mack Brewer,0,0 of 1,0%,1 of 3,0 of 0,---,0,0,--,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
152,Decision - Unanimous,3,15:00,L,Steve Kennedy,0,38 of 102,37%,61 of 128,3 of 8,37%,0,0,4:23,31 of 92,3 of 6,4 of 4,33 of 92,0 of 2,5 of 8,W,Richard Walsh,0,93 of 170,54%,132 of 214,0 of 0,---,0,0,4:28,58 of 127,13 of 19,22 of 24,49 of 110,11 of 19,33 of 41
153,Submission,1,2:57,L,Steve Kennedy,0,3 of 12,25%,3 of 12,0 of 1,0%,0,0,0:29,1 of 7,0 of 2,2 of 3,3 of 12,0 of 0,0 of 0,W,Peter Sobotta,0,6 of 13,46%,7 of 14,2 of 2,100%,1,0,1:21,2 of 9,2 of 2,2 of 2,6 of 13,0 of 0,0 of 0
154,KO/TKO,2,9:57,L,Jeremy Kennedy,0,8 of 25,32%,11 of 29,0 of 3,0%,0,0,0:28,7 of 24,1 of 1,0 of 0,1 of 18,0 of 0,7 of 7,W,Alexander Volkanovski,0,73 of 120,60%,105 of 158,2 of 3,66%,0,0,7:55,57 of 103,10 of 10,6 of 7,4 of 9,5 of 8,64 of 103
155,Decision - Unanimous,3,15:00,W,Jeremy Kennedy,0,41 of 94,43%,59 of 118,8 of 14,57%,0,0,11:37,30 of 82,6 of 7,5 of 5,13 of 44,7 of 11,21 of 39,L,Kyle Bochniak,0,23 of 54,42%,43 of 76,0 of 0,---,0,0,0:00,13 of 43,3 of 3,7 of 8,22 of 51,0 of 0,1 of 3
156,Decision - Unanimous,3,15:00,W,Jeremy Kennedy,0,46 of 74,62%,105 of 143,8 of 9,88%,0,0,6:37,44 of 71,1 of 2,1 of 1,13 of 35,2 of 4,31 of 35,L,Rony Jason,1,18 of 36,50%,95 of 116,0 of 1,0%,0,0,3:53,14 of 30,3 of 5,1 of 1,11 of 26,0 of 0,7 of 10
157,Decision - Unanimous,3,15:00,W,Jeremy Kennedy,0,27 of 71,38%,43 of 94,5 of 14,35%,0,0,11:10,16 of 51,8 of 15,3 of 5,15 of 45,11 of 23,1 of 3,L,Alex Ricci,0,28 of 60,46%,83 of 118,0 of 2,0%,0,0,1:28,7 of 25,16 of 28,5 of 7,13 of 37,15 of 22,0 of 1
158,Decision - Unanimous,3,15:00,W,Casey Kenney,0,123 of 247,49%,125 of 249,2 of 6,33%,0,0,1:30,74 of 189,25 of 32,24 of 26,118 of 241,4 of 5,1 of 1,L,Nathaniel Wood,0,136 of 321,42%,138 of 325,0 of 3,0%,0,0,0:00,70 of 237,9 of 22,57 of 62,134 of 318,2 of 3,0 of 0
159,Decision - Unanimous,3,15:00,W,Casey Kenney,0,109 of 263,41%,109 of 263,0 of 1,0%,0,0,0:00,57 of 192,41 of 58,11 of 13,109 of 261,0 of 2,0 of 0,L,Heili Alateng,0,46 of 171,26%,46 of 171,0 of 0,---,0,0,0:00,26 of 140,11 of 20,9 of 11,46 of 171,0 of 0,0 of 0
160,Submission,1,3:03,W,Casey Kenney,0,32 of 52,61%,32 of 52,0 of 0,---,1,0,0:09,15 of 34,5 of 6,12 of 12,31 of 51,1 of 1,0 of 0,L,Louis Smolka,0,18 of 43,41%,18 of 43,0 of 1,0%,0,0,0:00,4 of 16,14 of 27,0 of 0,16 of 41,2 of 2,0 of 0
161,Decision - Unanimous,3,15:00,L,Casey Kenney,0,45 of 118,38%,47 of 120,0 of 0,---,0,0,0:05,22 of 87,10 of 17,13 of 14,42 of 112,3 of 6,0 of 0,W,Merab Dvalishvili,0,63 of 181,34%,114 of 241,12 of 24,50%,0,0,5:40,30 of 137,14 of 23,19 of 21,43 of 156,7 of 8,13 of 17
162,Decision - Unanimous,3,15:00,W,Casey Kenney,0,43 of 69,62%,56 of 85,2 of 2,100%,1,1,5:17,21 of 42,10 of 14,12 of 13,26 of 49,6 of 7,11 of 13,L,Manny Bermudez,0,37 of 59,62%,59 of 83,3 of 4,75%,0,1,6:10,29 of 47,8 of 12,0 of 0,22 of 43,2 of 2,13 of 14
163,Decision - Unanimous,3,15:00,W,Casey Kenney,0,32 of 52,61%,46 of 68,2 of 3,66%,0,3,6:24,9 of 27,19 of 20,4 of 5,9 of 23,19 of 25,4 of 4,L,Ray Borg,0,17 of 35,48%,22 of 40,7 of 10,70%,0,1,6:33,8 of 23,8 of 11,1 of 1,2 of 14,13 of 19,2 of 2
