,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
32,Decision - Unanimous,3,15:00,W,Quinton Jackson,0,55 of 128,42%,61 of 135,0 of 0,---,0,0,1:02,30 of 98,21 of 26,4 of 4,33 of 94,22 of 34,0 of 0,L,Matt Hamill,0,32 of 85,37%,34 of 87,0 of 17,0%,0,0,1:15,17 of 63,1 of 3,14 of 19,29 of 77,3 of 8,0 of 0
33,Decision - Split,3,15:00,W,Quinton Jackson,0,16 of 49,32%,70 of 104,1 of 1,100%,0,0,2:21,9 of 41,3 of 3,4 of 5,6 of 35,10 of 14,0 of 0,L,Lyoto Machida,0,33 of 51,64%,53 of 71,1 of 3,33%,1,0,4:38,13 of 23,6 of 7,14 of 21,26 of 40,6 of 10,1 of 1
34,Decision - Unanimous,3,15:00,L,Quinton Jackson,1,17 of 47,36%,27 of 58,0 of 1,0%,0,0,0:56,7 of 35,9 of 11,1 of 1,2 of 18,11 of 24,4 of 5,W,Rashad Evans,0,29 of 52,55%,61 of 91,3 of 12,25%,0,0,7:42,21 of 42,1 of 2,7 of 8,7 of 22,12 of 15,10 of 15
35,Decision - Unanimous,3,15:00,W,Quinton Jackson,2,56 of 151,37%,80 of 176,2 of 3,66%,0,0,2:54,44 of 138,4 of 5,8 of 8,43 of 127,9 of 15,4 of 9,L,Keith Jardine,0,64 of 184,34%,65 of 185,0 of 3,0%,0,0,0:28,32 of 145,12 of 15,20 of 24,53 of 165,11 of 19,0 of 0
36,KO/TKO,1,3:21,W,Quinton Jackson,1,11 of 20,55%,11 of 20,0 of 1,0%,0,0,0:02,10 of 19,0 of 0,1 of 1,9 of 18,0 of 0,2 of 2,L,Wanderlei Silva,0,7 of 26,26%,7 of 26,0 of 0,---,0,0,0:00,4 of 21,0 of 0,3 of 5,6 of 25,1 of 1,0 of 0
37,Decision - Unanimous,5,25:00,L,Quinton Jackson,1,50 of 138,36%,73 of 163,0 of 1,0%,0,0,3:10,38 of 125,9 of 10,3 of 3,30 of 108,13 of 19,7 of 11,W,Forrest Griffin,0,77 of 276,27%,113 of 326,0 of 1,0%,3,0,4:47,31 of 205,11 of 25,35 of 46,56 of 236,8 of 12,13 of 28
38,Decision - Unanimous,5,25:00,W,Quinton Jackson,1,74 of 108,68%,185 of 222,2 of 3,66%,0,0,9:40,34 of 67,28 of 29,12 of 12,26 of 45,23 of 29,25 of 34,L,Dan Henderson,0,60 of 95,63%,94 of 135,3 of 8,37%,3,1,9:08,22 of 54,18 of 20,20 of 21,12 of 33,35 of 45,13 of 17
39,KO/TKO,1,1:53,W,Quinton Jackson,1,6 of 8,75%,6 of 8,0 of 0,---,0,0,0:04,6 of 8,0 of 0,0 of 0,3 of 4,0 of 0,3 of 4,L,Chuck Liddell,0,4 of 11,36%,4 of 11,0 of 0,---,0,0,0:00,2 of 9,1 of 1,1 of 1,4 of 11,0 of 0,0 of 0
40,KO/TKO,2,8:49,W,Quinton Jackson,1,45 of 74,60%,55 of 84,0 of 1,0%,0,0,1:01,31 of 59,12 of 13,2 of 2,13 of 34,31 of 39,1 of 1,L,Marvin Eastman,0,15 of 54,27%,25 of 64,0 of 1,0%,0,0,0:31,9 of 47,5 of 5,1 of 2,5 of 41,10 of 13,0 of 0
41,Submission,2,6:11,L,Jeremy Jackson,0,5 of 14,35%,20 of 33,2 of 5,40%,0,1,3:22,0 of 7,1 of 1,4 of 6,0 of 8,5 of 5,0 of 1,W,Pete Spratt,0,12 of 15,80%,40 of 43,0 of 0,---,0,1,1:06,7 of 10,2 of 2,3 of 3,4 of 5,3 of 3,5 of 7
