,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
163,KO/TKO,3,13:24,L,Joe Ellenberger,0,24 of 60,40%,35 of 71,3 of 5,60%,0,0,2:18,13 of 48,8 of 9,3 of 3,12 of 36,10 of 21,2 of 3,W,Bryan Barberena,1,63 of 122,51%,106 of 172,0 of 0,---,0,0,2:24,50 of 106,7 of 7,6 of 9,32 of 72,10 of 22,21 of 28
164,Decision - Split,3,15:00,W,Joe Ellenberger,0,22 of 37,59%,50 of 73,3 of 10,30%,2,0,6:29,17 of 31,4 of 5,1 of 1,6 of 17,4 of 5,12 of 15,L,James Moontasri,1,35 of 67,52%,119 of 163,0 of 0,---,0,0,5:03,31 of 63,4 of 4,0 of 0,11 of 26,1 of 2,23 of 39
165,Decision - Unanimous,3,15:00,W,Tim Elliott,0,67 of 169,39%,90 of 193,1 of 13,7%,2,1,2:42,31 of 100,16 of 40,20 of 29,44 of 139,14 of 20,9 of 10,L,Ryan Benoit,0,55 of 122,45%,64 of 131,1 of 2,50%,2,0,0:22,39 of 97,13 of 22,3 of 3,47 of 107,8 of 15,0 of 0
166,Submission,2,8:18,L,Tim Elliott,0,17 of 32,53%,40 of 55,4 of 10,40%,0,1,4:01,6 of 18,3 of 5,8 of 9,11 of 24,3 of 5,3 of 3,W,Brandon Royval,0,16 of 33,48%,22 of 41,1 of 1,100%,2,1,2:04,9 of 26,4 of 4,3 of 3,12 of 29,1 of 1,3 of 3
167,Decision - Unanimous,3,15:00,L,Tim Elliott,0,47 of 111,42%,86 of 157,3 of 11,27%,0,0,2:02,15 of 67,18 of 24,14 of 20,35 of 90,12 of 21,0 of 0,W,Askar Askarov,0,73 of 150,48%,96 of 173,0 of 7,0%,0,0,4:05,57 of 131,4 of 5,12 of 14,57 of 127,8 of 9,8 of 14
168,Submission,1,3:08,L,Tim Elliott,0,26 of 38,68%,33 of 45,1 of 3,33%,0,0,0:04,10 of 16,1 of 5,15 of 17,20 of 28,6 of 10,0 of 0,W,Deiveson Figueiredo,0,8 of 13,61%,8 of 13,0 of 1,0%,1,0,0:00,8 of 13,0 of 0,0 of 0,6 of 10,2 of 3,0 of 0
169,Submission,2,6:41,W,Tim Elliott,0,12 of 24,50%,54 of 75,1 of 1,100%,2,2,5:34,10 of 18,1 of 2,1 of 4,1 of 6,0 of 0,11 of 18,L,Mark De La Rosa,0,2 of 4,50%,4 of 6,0 of 0,---,0,0,0:31,0 of 2,2 of 2,0 of 0,1 of 3,0 of 0,1 of 1
170,Submission,1,0:49,L,Tim Elliott,0,1 of 4,25%,1 of 4,0 of 2,0%,0,0,0:00,0 of 2,0 of 0,1 of 2,1 of 4,0 of 0,0 of 0,W,Ben Nguyen,0,3 of 7,42%,8 of 12,1 of 1,100%,1,0,0:31,3 of 7,0 of 0,0 of 0,2 of 6,1 of 1,0 of 0
171,Decision - Unanimous,3,15:00,W,Tim Elliott,0,57 of 91,62%,98 of 136,12 of 14,85%,1,3,8:03,34 of 64,15 of 18,8 of 9,30 of 55,12 of 18,15 of 18,L,Louis Smolka,0,41 of 97,42%,47 of 105,1 of 4,25%,2,4,2:39,35 of 89,4 of 6,2 of 2,27 of 74,3 of 7,11 of 16
172,Decision - Unanimous,5,25:00,L,Tim Elliott,0,24 of 61,39%,110 of 157,4 of 4,100%,2,0,3:38,15 of 36,8 of 20,1 of 5,12 of 45,11 of 14,1 of 2,W,Demetrious Johnson,0,28 of 58,48%,86 of 116,5 of 7,71%,3,1,16:38,16 of 39,4 of 7,8 of 12,15 of 39,4 of 8,9 of 11
173,Decision - Unanimous,3,15:00,L,Tim Elliott,0,43 of 88,48%,152 of 199,1 of 2,50%,0,0,1:15,31 of 72,8 of 11,4 of 5,20 of 52,8 of 15,15 of 21,W,Zach Makovsky,0,21 of 33,63%,61 of 77,6 of 11,54%,0,1,9:59,14 of 26,3 of 3,4 of 4,8 of 18,3 of 4,10 of 11
174,Submission,1,4:08,L,Tim Elliott,0,16 of 21,76%,27 of 35,3 of 3,100%,0,0,1:16,10 of 15,3 of 3,3 of 3,13 of 17,3 of 4,0 of 0,W,Joseph Benavidez,0,9 of 23,39%,14 of 28,0 of 0,---,1,1,1:33,4 of 16,4 of 6,1 of 1,9 of 22,0 of 1,0 of 0
175,Decision - Unanimous,3,15:00,L,Tim Elliott,0,48 of 158,30%,72 of 188,2 of 4,50%,1,0,1:06,28 of 127,5 of 11,15 of 20,41 of 147,5 of 7,2 of 4,W,Ali Bagautinov,0,43 of 150,28%,43 of 150,1 of 4,25%,0,0,0:34,34 of 138,7 of 10,2 of 2,38 of 138,4 of 10,1 of 2
176,Decision - Unanimous,3,15:00,W,Tim Elliott,0,116 of 200,58%,270 of 386,6 of 6,100%,2,0,9:08,76 of 150,26 of 34,14 of 16,34 of 74,20 of 22,62 of 104,L,Louis Gaudinot,0,28 of 78,35%,41 of 95,0 of 0,---,0,0,0:14,12 of 56,6 of 8,10 of 14,23 of 69,5 of 9,0 of 0
177,Decision - Unanimous,3,15:00,W,Tim Elliott,1,36 of 69,52%,189 of 256,7 of 14,50%,4,0,7:08,26 of 57,7 of 9,3 of 3,27 of 58,4 of 5,5 of 6,L,Jared Papazian,0,36 of 97,37%,46 of 109,0 of 1,0%,0,1,2:09,28 of 87,5 of 7,3 of 3,30 of 87,4 of 6,2 of 4
178,Decision - Unanimous,3,15:00,L,Tim Elliott,0,79 of 225,35%,81 of 227,0 of 5,0%,0,0,0:02,64 of 192,11 of 28,4 of 5,67 of 203,12 of 22,0 of 0,W,John Dodson,0,80 of 233,34%,83 of 236,2 of 4,50%,0,0,0:12,54 of 200,17 of 24,9 of 9,78 of 226,2 of 6,0 of 1
179,Decision - Unanimous,3,15:00,W,Eddy Ellis,0,51 of 73,69%,108 of 142,4 of 6,66%,2,0,--,28 of 46,15 of 18,8 of 9,39 of 59,7 of 7,5 of 7,L,Steve Berger,0,23 of 72,31%,103 of 167,1 of 2,50%,1,1,--,16 of 62,5 of 7,2 of 3,16 of 64,2 of 3,5 of 5
180,Submission,1,4:09,L,Lisa Ellis,0,7 of 17,41%,8 of 18,1 of 3,33%,0,0,1:18,6 of 14,1 of 3,0 of 0,2 of 9,3 of 6,2 of 2,W,Bec Rawlings,0,21 of 40,52%,33 of 55,0 of 0,---,1,0,2:14,17 of 35,4 of 5,0 of 0,4 of 14,10 of 15,7 of 11
181,Submission,2,8:05,L,Lisa Ellis,0,4 of 5,80%,7 of 10,2 of 3,66%,1,1,2:44,3 of 4,1 of 1,0 of 0,1 of 2,1 of 1,2 of 2,W,Felice Herrig,0,8 of 14,57%,48 of 64,1 of 1,100%,3,2,4:57,8 of 13,0 of 1,0 of 0,1 of 6,0 of 0,7 of 8
182,Decision - Unanimous,3,15:00,L,Anna Elmose,1,63 of 129,48%,73 of 139,0 of 0,---,0,0,2:14,39 of 99,13 of 16,11 of 14,46 of 107,3 of 4,14 of 18,W,Amanda Cooper,0,69 of 172,40%,103 of 213,2 of 3,66%,1,0,3:03,60 of 160,7 of 10,2 of 2,56 of 155,3 of 3,10 of 14
183,KO/TKO,1,3:46,L,Anna Elmose,0,6 of 10,60%,32 of 43,0 of 5,0%,0,0,1:54,2 of 3,2 of 5,2 of 2,2 of 4,4 of 6,0 of 0,W,Germaine de Randamie,1,18 of 29,62%,23 of 34,0 of 0,---,0,0,0:34,9 of 19,9 of 10,0 of 0,7 of 16,11 of 13,0 of 0
184,KO/TKO,2,5:44,L,Cameron Else,0,11 of 30,36%,20 of 43,0 of 0,---,0,0,0:03,4 of 20,6 of 8,1 of 2,10 of 28,0 of 0,1 of 2,W,Kyler Phillips,0,32 of 78,41%,34 of 80,2 of 2,100%,0,0,2:25,22 of 63,5 of 8,5 of 7,13 of 41,0 of 0,19 of 37
185,Decision - Unanimous,3,15:00,W,Ramazan Emeev,0,29 of 67,43%,67 of 114,4 of 12,33%,2,0,6:50,22 of 59,5 of 5,2 of 3,19 of 54,7 of 9,3 of 4,L,Niklas Stolze,0,30 of 72,41%,41 of 85,1 of 1,100%,0,0,0:21,13 of 42,3 of 7,14 of 23,27 of 66,1 of 3,2 of 3
186,Decision - Unanimous,3,15:00,L,Ramazan Emeev,0,30 of 92,32%,43 of 105,0 of 9,0%,0,0,2:44,26 of 84,2 of 4,2 of 4,24 of 86,6 of 6,0 of 0,W,Anthony Rocco Martin,0,41 of 140,29%,48 of 148,0 of 0,---,2,0,0:11,22 of 119,0 of 0,19 of 21,41 of 140,0 of 0,0 of 0
187,Decision - Unanimous,3,15:00,W,Ramazan Emeev,1,36 of 84,42%,47 of 96,2 of 3,66%,1,0,2:24,22 of 64,12 of 17,2 of 3,17 of 58,12 of 17,7 of 9,L,Stefan Sekulic,0,22 of 58,37%,31 of 68,1 of 5,20%,0,0,2:16,6 of 34,3 of 9,13 of 15,19 of 52,3 of 6,0 of 0
188,Decision - Unanimous,3,15:00,W,Ramazan Emeev,0,39 of 84,46%,54 of 100,3 of 6,50%,0,0,5:06,28 of 67,8 of 14,3 of 3,24 of 57,4 of 9,11 of 18,L,Alberto Mina,0,12 of 82,14%,16 of 87,1 of 5,20%,0,0,0:05,5 of 65,3 of 11,4 of 6,11 of 79,1 of 2,0 of 1
189,Decision - Unanimous,3,15:00,W,Ramazan Emeev,0,38 of 71,53%,51 of 84,1 of 9,11%,0,0,4:12,28 of 60,5 of 6,5 of 5,22 of 49,16 of 22,0 of 0,L,Sam Alvey,0,29 of 70,41%,56 of 99,0 of 0,---,0,0,0:02,12 of 45,7 of 8,10 of 17,14 of 52,14 of 17,1 of 1
190,KO/TKO,1,4:12,L,Fedor Emelianenko,1,7 of 25,28%,16 of 36,0 of 0,---,0,0,0:06,7 of 24,0 of 0,0 of 1,5 of 16,1 of 7,1 of 2,W,Dan Henderson,1,22 of 37,59%,40 of 55,0 of 1,0%,0,0,2:26,7 of 17,3 of 4,12 of 16,6 of 16,14 of 19,2 of 2
191,TKO - Doctor's Stoppage,2,10:00,L,Fedor Emelianenko,0,15 of 44,34%,36 of 68,0 of 0,---,3,0,1:06,12 of 41,3 of 3,0 of 0,7 of 30,7 of 12,1 of 2,W,Antonio Silva,0,28 of 70,40%,63 of 119,2 of 4,50%,3,0,6:41,23 of 64,2 of 2,3 of 4,10 of 23,4 of 11,14 of 36
192,Submission,1,1:09,L,Fedor Emelianenko,0,3 of 9,33%,5 of 13,0 of 0,---,0,0,0:40,3 of 9,0 of 0,0 of 0,2 of 6,0 of 0,1 of 3,W,Fabricio Werdum,0,1 of 4,25%,1 of 4,0 of 0,---,3,0,0:00,1 of 3,0 of 0,0 of 1,1 of 4,0 of 0,0 of 0
