,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
432,Submission,1,2:38,L,Shane Roller,0,0 of 7,0%,0 of 7,0 of 0,---,0,0,0:00,0 of 7,0 of 0,0 of 0,0 of 7,0 of 0,0 of 0,W,Jacob Volkmann,0,8 of 25,32%,14 of 32,1 of 4,25%,2,0,1:24,6 of 18,2 of 4,0 of 3,3 of 16,0 of 0,5 of 9
433,Decision - Unanimous,3,15:00,W,Shane Roller,0,31 of 69,44%,82 of 128,3 of 7,42%,0,0,7:59,20 of 56,3 of 5,8 of 8,20 of 58,2 of 2,9 of 9,L,John Alessio,0,35 of 103,33%,63 of 134,0 of 1,0%,0,1,2:06,28 of 95,7 of 8,0 of 0,29 of 93,5 of 7,1 of 3
434,Decision - Unanimous,3,15:00,L,Shane Roller,0,56 of 92,60%,72 of 110,1 of 12,8%,0,0,3:53,49 of 79,6 of 12,1 of 1,26 of 57,5 of 6,25 of 29,W,Michael Johnson,0,64 of 136,47%,77 of 149,1 of 1,100%,0,1,4:25,44 of 113,5 of 7,15 of 16,42 of 110,19 of 20,3 of 6
435,Submission,3,12:12,L,Shane Roller,0,10 of 60,16%,11 of 61,1 of 3,33%,2,2,2:45,10 of 60,0 of 0,0 of 0,9 of 56,1 of 4,0 of 0,W,TJ Grant,0,24 of 64,37%,64 of 104,2 of 2,100%,3,1,4:58,20 of 59,0 of 1,4 of 4,17 of 50,2 of 4,5 of 10
436,KO/TKO,1,2:12,L,Shane Roller,0,1 of 13,7%,1 of 13,0 of 0,---,0,0,0:00,1 of 10,0 of 3,0 of 0,1 of 13,0 of 0,0 of 0,W,Melvin Guillard,2,17 of 42,40%,17 of 42,0 of 0,---,0,0,0:06,11 of 30,3 of 8,3 of 4,11 of 33,2 of 2,4 of 7
437,KO/TKO,2,6:28,W,Shane Roller,1,26 of 106,24%,26 of 106,0 of 1,0%,0,0,0:12,13 of 82,4 of 13,9 of 11,23 of 103,1 of 1,2 of 2,L,Thiago Tavares,0,22 of 70,31%,23 of 71,1 of 1,100%,0,0,0:29,13 of 54,6 of 13,3 of 3,21 of 67,1 of 3,0 of 0
438,Submission,1,3:55,W,Shane Roller,0,3 of 24,12%,6 of 27,1 of 2,50%,1,0,1:16,3 of 24,0 of 0,0 of 0,3 of 24,0 of 0,0 of 0,L,Jamie Varner,1,5 of 33,15%,5 of 33,0 of 0,---,0,0,0:04,2 of 25,1 of 6,2 of 2,5 of 33,0 of 0,0 of 0
439,Submission,3,14:51,L,Shane Roller,0,16 of 54,29%,25 of 63,2 of 11,18%,1,1,4:23,9 of 44,2 of 4,5 of 6,11 of 43,4 of 7,1 of 4,W,Anthony Pettis,0,37 of 71,52%,85 of 121,2 of 2,100%,2,1,4:26,24 of 55,6 of 7,7 of 9,23 of 55,8 of 8,6 of 8
440,Submission,1,3:07,W,Shane Roller,0,1 of 1,100%,3 of 3,2 of 4,50%,3,0,2:50,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,L,Anthony Njokuani,0,1 of 3,33%,3 of 5,0 of 0,---,0,0,0:02,0 of 2,1 of 1,0 of 0,0 of 2,1 of 1,0 of 0
441,Submission,3,13:32,W,Shane Roller,0,24 of 74,32%,61 of 120,2 of 5,40%,1,0,3:19,18 of 68,5 of 5,1 of 1,14 of 61,3 of 5,7 of 8,L,Danny Castillo,0,19 of 68,27%,50 of 104,2 of 4,50%,0,0,4:31,15 of 63,2 of 3,2 of 2,10 of 46,0 of 4,9 of 18
442,Decision - Unanimous,3,15:00,W,Shane Roller,0,54 of 144,37%,109 of 204,5 of 6,83%,1,0,7:48,49 of 136,4 of 7,1 of 1,13 of 76,1 of 2,40 of 66,L,Marcus Hicks,0,32 of 61,52%,56 of 85,1 of 2,50%,3,0,0:39,11 of 38,16 of 17,5 of 6,22 of 47,10 of 14,0 of 0
443,KO/TKO,1,1:41,L,Shane Roller,1,2 of 4,50%,15 of 18,0 of 0,---,1,0,0:40,2 of 4,0 of 0,0 of 0,2 of 3,0 of 0,0 of 1,W,Benson Henderson,1,14 of 20,70%,17 of 23,1 of 1,100%,0,0,0:34,9 of 14,2 of 3,3 of 3,0 of 4,9 of 10,5 of 6
444,Submission,1,1:01,W,Shane Roller,0,0 of 1,0%,0 of 1,1 of 1,100%,1,0,0:47,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,L,Mike Budnik,0,2 of 2,100%,2 of 2,0 of 0,---,1,0,0:05,0 of 0,1 of 1,1 of 1,2 of 2,0 of 0,0 of 0
445,Submission,1,3:00,W,Shane Roller,0,0 of 6,0%,0 of 6,0 of 1,0%,3,0,0:03,0 of 5,0 of 1,0 of 0,0 of 6,0 of 0,0 of 0,L,Todd Moore,0,10 of 35,28%,33 of 62,0 of 1,0%,0,0,2:04,10 of 35,0 of 0,0 of 0,5 of 20,0 of 0,5 of 15
446,KO/TKO,3,12:01,L,Jared Rollins,1,40 of 70,57%,78 of 111,2 of 4,50%,1,0,3:43,40 of 70,0 of 0,0 of 0,3 of 11,5 of 6,32 of 53,W,War Machine,0,29 of 48,60%,127 of 156,1 of 2,50%,0,1,7:14,27 of 46,2 of 2,0 of 0,3 of 9,0 of 0,26 of 39
447,Submission,1,4:48,W,Alexandr Romanov,0,6 of 7,85%,10 of 12,2 of 5,40%,1,0,3:51,3 of 3,1 of 2,2 of 2,0 of 0,3 of 4,3 of 3,L,Marcos Rogerio de Lima,0,18 of 29,62%,27 of 39,0 of 0,---,0,0,0:00,7 of 17,5 of 5,6 of 7,12 of 22,5 of 6,1 of 1
448,Submission,2,9:22,W,Alexandr Romanov,0,55 of 147,37%,60 of 160,4 of 4,100%,2,0,8:15,47 of 139,8 of 8,0 of 0,4 of 5,1 of 1,50 of 141,L,Roque Martinez,0,7 of 15,46%,29 of 41,0 of 0,---,0,0,0:00,3 of 10,0 of 0,4 of 5,6 of 12,1 of 2,0 of 1
