,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
35,KO/TKO,2,5:32,L,Zhang Tiequan,0,6 of 19,31%,6 of 19,0 of 0,---,1,0,0:01,3 of 16,0 of 0,3 of 3,6 of 19,0 of 0,0 of 0,W,Issei Tamura,2,15 of 24,62%,77 of 90,1 of 2,50%,0,0,4:11,15 of 24,0 of 0,0 of 0,7 of 13,0 of 0,8 of 11
36,Decision - Unanimous,3,15:00,L,Zhang Tiequan,0,2 of 18,11%,2 of 18,0 of 0,---,3,0,0:45,2 of 18,0 of 0,0 of 0,2 of 17,0 of 0,0 of 1,W,Darren Elkins,0,27 of 49,55%,175 of 218,1 of 6,16%,3,0,13:09,24 of 45,3 of 4,0 of 0,2 of 13,0 of 0,25 of 36
37,Submission,1,0:48,W,Zhang Tiequan,0,4 of 11,36%,4 of 11,0 of 0,---,1,0,0:00,4 of 11,0 of 0,0 of 0,4 of 10,0 of 1,0 of 0,L,Jason Reinhardt,0,2 of 6,33%,2 of 6,0 of 0,---,0,0,0:09,1 of 5,0 of 0,1 of 1,2 of 5,0 of 1,0 of 0
38,Decision - Unanimous,3,15:00,L,Zhang Tiequan,0,12 of 35,34%,16 of 40,4 of 8,50%,6,0,3:10,10 of 32,1 of 2,1 of 1,7 of 19,5 of 16,0 of 0,W,Danny Downes,0,31 of 71,43%,110 of 168,0 of 0,---,1,1,10:23,24 of 63,3 of 3,4 of 5,7 of 24,1 of 3,23 of 44
39,Submission,1,2:26,W,Zhang Tiequan,0,2 of 5,40%,9 of 14,1 of 2,50%,1,0,1:55,1 of 4,1 of 1,0 of 0,0 of 1,1 of 1,1 of 3,L,Pablo Garza,0,4 of 6,66%,6 of 9,0 of 0,---,1,1,0:04,1 of 3,3 of 3,0 of 0,1 of 3,2 of 2,1 of 1
40,Decision - Unanimous,3,15:00,L,Zhang Lipeng,0,20 of 47,42%,51 of 81,1 of 2,50%,0,0,2:31,6 of 31,4 of 4,10 of 12,13 of 32,6 of 8,1 of 7,W,Kajan Johnson,0,20 of 51,39%,23 of 54,3 of 11,27%,1,0,6:25,10 of 36,2 of 6,8 of 9,8 of 34,9 of 11,3 of 6
41,Decision - Unanimous,3,15:00,L,Zhang Lipeng,0,28 of 46,60%,47 of 67,0 of 7,0%,0,0,3:46,7 of 19,7 of 11,14 of 16,8 of 20,19 of 25,1 of 1,W,Chris Wade,0,47 of 65,72%,133 of 163,4 of 9,44%,0,0,9:00,18 of 29,7 of 11,22 of 25,13 of 25,25 of 29,9 of 11
42,Decision - Unanimous,3,15:00,W,Zhang Lipeng,0,19 of 40,47%,130 of 179,2 of 4,50%,1,0,8:03,7 of 25,6 of 9,6 of 6,9 of 27,6 of 7,4 of 6,L,Brendan O'Reilly,0,15 of 50,30%,74 of 121,0 of 3,0%,0,1,3:16,7 of 35,4 of 8,4 of 7,12 of 41,3 of 4,0 of 5
43,Decision - Split,3,15:00,W,Zhang Lipeng,0,10 of 25,40%,37 of 60,4 of 10,40%,2,0,3:29,4 of 15,0 of 3,6 of 7,8 of 22,1 of 1,1 of 2,L,Sai Wang,0,31 of 79,39%,100 of 172,0 of 0,---,0,2,7:12,14 of 47,3 of 9,14 of 23,15 of 46,6 of 12,10 of 21
44,Decision - Split,5,25:00,W,Zhang Weili,0,165 of 408,40%,170 of 413,1 of 8,12%,0,0,1:14,96 of 305,11 of 22,58 of 81,158 of 393,7 of 15,0 of 0,L,Joanna Jedrzejczyk,0,186 of 360,51%,196 of 370,0 of 0,---,0,0,1:00,96 of 230,32 of 47,58 of 83,171 of 342,15 of 18,0 of 0
