,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
102,Decision - Unanimous,3,15:00,W,Norman Parke,0,47 of 145,32%,56 of 154,1 of 6,16%,0,0,4:27,31 of 119,13 of 23,3 of 3,43 of 135,4 of 10,0 of 0,L,Reza Madadi,0,33 of 95,34%,40 of 104,1 of 12,8%,0,0,2:17,27 of 87,4 of 6,2 of 2,24 of 81,9 of 14,0 of 0
103,Decision - Unanimous,3,15:00,L,Norman Parke,0,25 of 83,30%,31 of 89,4 of 12,33%,0,0,6:16,23 of 77,2 of 6,0 of 0,17 of 70,7 of 10,1 of 3,W,Francisco Trinaldo,0,66 of 191,34%,70 of 196,0 of 0,---,0,0,0:46,32 of 148,18 of 26,16 of 17,55 of 173,7 of 14,4 of 4
104,Decision - Split,3,15:00,L,Norman Parke,0,43 of 140,30%,44 of 141,0 of 10,0%,0,0,1:08,22 of 99,12 of 23,9 of 18,31 of 123,12 of 17,0 of 0,W,Gleison Tibau,0,38 of 127,29%,38 of 127,2 of 6,33%,0,0,2:00,21 of 106,7 of 10,10 of 11,26 of 113,12 of 13,0 of 1
105,KO/TKO,2,8:41,W,Norman Parke,0,34 of 83,40%,41 of 91,2 of 2,100%,0,0,3:33,25 of 68,5 of 7,4 of 8,5 of 27,5 of 9,24 of 47,L,Naoyuki Kotani,0,8 of 35,22%,16 of 43,0 of 7,0%,0,0,1:02,5 of 26,1 of 3,2 of 6,7 of 32,1 of 3,0 of 0
106,Decision - Majority,3,15:00,D,Norman Parke,0,37 of 124,29%,92 of 188,0 of 8,0%,0,0,8:31,21 of 94,8 of 12,8 of 18,20 of 97,17 of 27,0 of 0,D,Leonardo Santos,0,26 of 73,35%,50 of 98,0 of 5,0%,0,0,0:06,14 of 56,7 of 11,5 of 6,24 of 67,2 of 6,0 of 0
107,Decision - Unanimous,3,15:00,W,Norman Parke,0,81 of 246,32%,82 of 248,1 of 1,100%,0,0,0:08,66 of 223,14 of 19,1 of 4,80 of 242,1 of 4,0 of 0,L,Jon Tuck,0,67 of 178,37%,69 of 180,0 of 1,0%,0,0,0:00,35 of 137,13 of 18,19 of 23,64 of 172,3 of 6,0 of 0
108,Decision - Unanimous,3,15:00,W,Norman Parke,0,68 of 128,53%,77 of 137,2 of 13,15%,0,1,4:43,50 of 105,9 of 11,9 of 12,60 of 120,6 of 6,2 of 2,L,Kazuki Tokudome,0,43 of 128,33%,59 of 149,1 of 5,20%,0,0,2:38,26 of 110,4 of 5,13 of 13,40 of 122,3 of 6,0 of 0
109,Decision - Unanimous,3,15:00,W,Norman Parke,0,42 of 98,42%,48 of 105,6 of 9,66%,0,0,6:51,29 of 77,6 of 13,7 of 8,35 of 89,1 of 2,6 of 7,L,Colin Fletcher,0,56 of 141,39%,66 of 154,0 of 0,---,0,0,0:35,21 of 85,10 of 24,25 of 32,54 of 136,2 of 5,0 of 0
110,Submission,1,3:05,L,Ryan Parker,0,0 of 0,---,20 of 21,0 of 0,---,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,W,Remco Pardoel,0,0 of 0,---,16 of 16,1 of 1,100%,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
111,Submission,1,1:20,L,Tyra Parker,0,2 of 9,22%,2 of 9,0 of 0,---,0,0,0:00,1 of 8,0 of 0,1 of 1,2 of 9,0 of 0,0 of 0,W,Michelle Waterson,0,12 of 14,85%,14 of 16,1 of 1,100%,1,0,0:48,7 of 9,2 of 2,3 of 3,9 of 10,3 of 4,0 of 0
