,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
444,KO/TKO,2,6:35,W,Abel Trujillo,0,43 of 64,67%,48 of 69,5 of 6,83%,0,0,2:12,29 of 48,11 of 13,3 of 3,15 of 33,11 of 12,17 of 19,L,Roger Bowling,0,9 of 33,27%,16 of 41,0 of 1,0%,0,0,0:42,2 of 22,1 of 1,6 of 10,7 of 31,2 of 2,0 of 0
445,Could Not Continue,2,9:57,NC,Abel Trujillo,0,50 of 123,40%,57 of 130,1 of 1,100%,0,0,1:36,42 of 115,3 of 3,5 of 5,35 of 104,7 of 10,8 of 9,NC,Roger Bowling,0,43 of 104,41%,47 of 108,4 of 5,80%,3,0,2:15,34 of 92,6 of 9,3 of 3,38 of 98,1 of 2,4 of 4
446,Decision - Unanimous,3,15:00,L,Abel Trujillo,0,11 of 30,36%,18 of 39,1 of 1,100%,0,0,1:37,8 of 27,3 of 3,0 of 0,4 of 21,4 of 4,3 of 5,W,Khabib Nurmagomedov,0,23 of 40,57%,46 of 68,21 of 27,77%,2,0,10:29,16 of 32,3 of 4,4 of 4,6 of 11,2 of 4,15 of 25
447,KO/TKO,2,8:56,W,Abel Trujillo,1,57 of 75,76%,94 of 117,1 of 1,100%,2,0,3:03,22 of 36,28 of 32,7 of 7,1 of 10,28 of 33,28 of 32,L,Marcus LeVesseur,0,9 of 16,56%,11 of 19,2 of 10,20%,0,0,4:08,3 of 7,1 of 1,5 of 8,3 of 6,6 of 10,0 of 0
448,Decision - Unanimous,3,15:00,W,Arman Tsarukyan,0,91 of 197,46%,118 of 227,1 of 5,20%,0,0,3:08,60 of 160,13 of 19,18 of 18,80 of 182,6 of 7,5 of 8,L,Davi Ramos,0,33 of 103,32%,49 of 122,0 of 5,0%,0,0,0:18,20 of 82,10 of 18,3 of 3,29 of 92,4 of 7,0 of 4
449,Decision - Unanimous,3,15:00,W,Arman Tsarukyan,0,47 of 105,44%,110 of 174,2 of 11,18%,0,0,7:53,28 of 77,11 of 18,8 of 10,20 of 68,5 of 8,22 of 29,L,Olivier Aubin-Mercier,0,23 of 48,47%,36 of 61,0 of 3,0%,0,0,1:01,14 of 34,8 of 12,1 of 2,17 of 41,1 of 1,5 of 6
450,Decision - Unanimous,3,15:00,L,Arman Tsarukyan,0,13 of 43,30%,60 of 90,1 of 12,8%,0,0,1:47,5 of 25,7 of 15,1 of 3,6 of 34,7 of 9,0 of 0,W,Islam Makhachev,0,14 of 20,70%,47 of 53,4 of 9,44%,0,0,6:06,7 of 12,6 of 6,1 of 2,4 of 10,8 of 8,2 of 2
451,KO/TKO,2,6:41,L,Chris Tuchscherer,0,9 of 37,24%,22 of 52,1 of 4,25%,0,0,1:45,8 of 36,1 of 1,0 of 0,7 of 35,1 of 1,1 of 1,W,Mark Hunt,1,14 of 43,32%,24 of 56,0 of 0,---,0,0,0:02,14 of 41,0 of 2,0 of 0,13 of 41,1 of 2,0 of 0
452,KO/TKO,1,1:07,L,Chris Tuchscherer,0,1 of 5,20%,1 of 5,0 of 0,---,0,0,0:00,0 of 4,0 of 0,1 of 1,1 of 5,0 of 0,0 of 0,W,Brendan Schaub,1,10 of 12,83%,15 of 17,0 of 0,---,0,0,0:07,10 of 12,0 of 0,0 of 0,2 of 4,2 of 2,6 of 6
453,Decision - Majority,3,15:00,W,Chris Tuchscherer,0,24 of 64,37%,45 of 88,1 of 7,14%,1,0,4:17,13 of 53,2 of 2,9 of 9,17 of 51,7 of 12,0 of 1,L,Tim Hague,0,34 of 70,48%,53 of 90,1 of 1,100%,1,0,4:14,24 of 56,8 of 12,2 of 2,10 of 36,14 of 21,10 of 13
