,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
253,Submission,1,3:15,W,Chris Leben,0,6 of 20,30%,15 of 30,0 of 1,0%,1,0,--,5 of 19,0 of 0,1 of 1,3 of 14,3 of 6,0 of 0,L,Brian Sleeman,0,13 of 27,48%,16 of 30,2 of 2,100%,0,0,--,12 of 26,1 of 1,0 of 0,9 of 17,2 of 6,2 of 4
254,Decision - Unanimous,3,15:00,L,Mickael Lebout,0,27 of 139,19%,29 of 142,0 of 3,0%,0,0,0:47,20 of 124,1 of 8,6 of 7,27 of 136,0 of 3,0 of 0,W,Stevie Ray,0,48 of 150,32%,53 of 156,1 of 1,100%,0,0,0:46,26 of 116,7 of 14,15 of 20,46 of 148,1 of 1,1 of 1
255,Decision - Unanimous,3,15:00,W,Mickael Lebout,0,43 of 85,50%,68 of 112,0 of 1,0%,0,2,6:53,24 of 61,10 of 12,9 of 12,32 of 69,0 of 0,11 of 16,L,Teemu Packalen,0,35 of 61,57%,41 of 70,3 of 11,27%,1,0,3:14,28 of 54,6 of 6,1 of 1,28 of 49,0 of 1,7 of 11
256,Decision - Unanimous,3,15:00,L,Mickael Lebout,0,47 of 111,42%,50 of 114,0 of 0,---,0,1,0:04,33 of 95,5 of 6,9 of 10,46 of 110,0 of 0,1 of 1,W,Sergio Moraes,0,51 of 82,62%,51 of 82,2 of 3,66%,0,0,3:59,40 of 69,8 of 8,3 of 5,50 of 80,0 of 0,1 of 2
257,Decision - Unanimous,3,15:00,L,Stephen Ledbetter,0,18 of 47,38%,41 of 72,5 of 11,45%,0,0,8:00,8 of 36,8 of 9,2 of 2,6 of 30,9 of 11,3 of 6,W,Jeff Curran,0,24 of 56,42%,61 of 94,0 of 1,0%,3,0,2:10,9 of 31,12 of 20,3 of 5,12 of 37,8 of 15,4 of 4
258,KO/TKO,1,2:38,L,Justin Ledet,0,10 of 31,32%,10 of 31,0 of 0,---,0,0,0:00,8 of 29,0 of 0,2 of 2,10 of 30,0 of 1,0 of 0,W,Dustin Jacoby,2,22 of 38,57%,22 of 38,0 of 0,---,0,0,0:11,10 of 22,2 of 5,10 of 11,17 of 29,0 of 1,5 of 8
259,Decision - Unanimous,3,15:00,L,Justin Ledet,0,44 of 131,33%,60 of 148,0 of 0,---,0,0,1:14,34 of 117,10 of 14,0 of 0,38 of 123,6 of 8,0 of 0,W,Aleksa Camur,0,80 of 165,48%,88 of 174,1 of 2,50%,0,0,0:00,40 of 104,24 of 34,16 of 27,62 of 141,17 of 23,1 of 1
260,KO/TKO,1,0:15,L,Justin Ledet,0,0 of 4,0%,0 of 4,0 of 0,---,0,0,0:00,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0,W,Johnny Walker,1,7 of 8,87%,7 of 8,0 of 0,---,0,0,0:04,6 of 7,0 of 0,1 of 1,4 of 4,0 of 0,3 of 4
261,Decision - Unanimous,3,15:00,L,Justin Ledet,0,12 of 26,46%,28 of 42,0 of 1,0%,0,0,0:00,12 of 24,0 of 0,0 of 2,12 of 26,0 of 0,0 of 0,W,Aleksandar Rakic,1,104 of 144,72%,263 of 317,3 of 4,75%,0,0,12:20,88 of 122,5 of 5,11 of 17,24 of 42,2 of 4,78 of 98
262,Decision - Split,3,15:00,W,Justin Ledet,0,36 of 126,28%,36 of 126,0 of 0,---,0,0,0:00,35 of 124,1 of 2,0 of 0,36 of 126,0 of 0,0 of 0,L,Azunna Anyanwu,0,37 of 84,44%,37 of 84,0 of 0,---,0,0,0:00,28 of 60,9 of 24,0 of 0,36 of 82,1 of 2,0 of 0
263,Submission,1,2:16,W,Justin Ledet,0,3 of 11,27%,8 of 17,1 of 1,100%,1,0,1:15,3 of 11,0 of 0,0 of 0,2 of 10,0 of 0,1 of 1,L,Mark Godbeer,0,5 of 11,45%,7 of 13,0 of 1,0%,0,0,0:10,2 of 6,0 of 1,3 of 4,5 of 11,0 of 0,0 of 0
264,Decision - Unanimous,3,15:00,W,Justin Ledet,0,113 of 230,49%,114 of 231,0 of 0,---,0,0,0:00,111 of 228,2 of 2,0 of 0,110 of 226,3 of 4,0 of 0,L,Chase Sherman,0,59 of 166,35%,60 of 167,0 of 0,---,0,0,0:00,26 of 120,7 of 14,26 of 32,58 of 164,1 of 2,0 of 0
265,KO/TKO,1,1:30,L,James Lee,0,0 of 1,0%,0 of 1,2 of 4,50%,0,0,0:42,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,W,Alessio Sakara,0,8 of 10,80%,10 of 12,0 of 0,---,0,0,0:08,8 of 10,0 of 0,0 of 0,0 of 2,0 of 0,8 of 8
266,Submission,2,6:55,L,David Lee,0,12 of 24,50%,23 of 36,0 of 4,0%,0,0,0:23,3 of 11,7 of 10,2 of 3,5 of 12,7 of 12,0 of 0,W,Junior Assuncao,1,29 of 49,59%,59 of 84,0 of 1,0%,2,0,5:08,21 of 41,7 of 7,1 of 1,9 of 20,15 of 24,5 of 5
267,Submission,1,1:50,L,David Lee,0,1 of 2,50%,2 of 3,0 of 0,---,0,0,0:00,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0,W,Tyson Griffin,0,0 of 1,0%,7 of 11,1 of 1,100%,1,0,1:35,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
268,Submission,1,3:17,L,Tommy Lee,0,0 of 2,0%,5 of 7,1 of 3,33%,0,0,2:06,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0,W,Cub Swanson,0,1 of 4,25%,6 of 9,0 of 0,---,2,0,0:27,0 of 2,0 of 1,1 of 1,1 of 4,0 of 0,0 of 0
269,KO/TKO,1,1:33,L,Matt Lee,0,0 of 12,0%,0 of 12,0 of 0,---,0,0,--,0 of 10,0 of 2,0 of 0,0 of 12,0 of 0,0 of 0,W,Jorge Masvidal,1,15 of 19,78%,22 of 26,1 of 1,100%,0,0,--,10 of 14,3 of 3,2 of 2,2 of 4,7 of 7,6 of 8
