,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
206,Decision - Unanimous,3,15:00,W,Adam Wieczorek,0,42 of 95,44%,73 of 129,0 of 1,0%,0,0,2:11,23 of 74,15 of 16,4 of 5,26 of 77,11 of 11,5 of 7,L,Anthony Hamilton,0,32 of 57,56%,44 of 75,2 of 9,22%,0,0,6:59,6 of 28,21 of 22,5 of 7,11 of 36,6 of 6,15 of 15
207,KO/TKO,1,1:29,L,Orlando Wiet,0,1 of 2,50%,5 of 7,0 of 0,---,0,0,--,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0,W,Remco Pardoel,0,7 of 7,100%,7 of 7,1 of 1,100%,0,0,--,7 of 7,0 of 0,0 of 0,0 of 0,0 of 0,7 of 7
208,KO/TKO,1,2:50,W,Orlando Wiet,0,8 of 12,66%,11 of 15,0 of 0,---,0,0,--,7 of 11,1 of 1,0 of 0,1 of 3,0 of 0,7 of 9,L,Robert Lucarelli,0,2 of 6,33%,2 of 6,1 of 1,100%,1,0,--,1 of 2,0 of 1,1 of 3,2 of 6,0 of 0,0 of 0
209,KO/TKO,1,4:40,W,Jonathan Wiezorek,0,10 of 10,100%,37 of 37,1 of 4,25%,0,0,1:51,10 of 10,0 of 0,0 of 0,0 of 0,2 of 2,8 of 8,L,Wade Shipp,0,20 of 23,86%,42 of 48,0 of 0,---,0,0,0:44,11 of 14,7 of 7,2 of 2,4 of 6,15 of 16,1 of 1
210,Decision - Split,3,15:00,L,Justin Wilcox,0,48 of 274,17%,49 of 275,2 of 17,11%,0,0,1:33,37 of 260,5 of 8,6 of 6,48 of 272,0 of 2,0 of 0,W,Jorge Masvidal,0,82 of 198,41%,96 of 212,0 of 0,---,0,0,0:11,68 of 181,6 of 9,8 of 8,77 of 187,5 of 9,0 of 2
211,Could Not Continue,2,5:31,NC,Justin Wilcox,0,27 of 69,39%,27 of 69,0 of 2,0%,0,0,0:05,18 of 59,5 of 6,4 of 4,25 of 67,1 of 1,1 of 1,NC,Gesias Cavalcante,0,11 of 60,18%,11 of 60,0 of 0,---,0,0,0:00,6 of 54,4 of 5,1 of 1,11 of 60,0 of 0,0 of 0
212,TKO - Doctor's Stoppage,1,5:00,W,Justin Wilcox,1,21 of 46,45%,37 of 66,0 of 0,---,0,0,--,18 of 41,3 of 5,0 of 0,10 of 31,1 of 1,10 of 14,L,Rodrigo Damm,0,7 of 15,46%,11 of 19,0 of 1,0%,0,0,--,2 of 10,0 of 0,5 of 5,7 of 15,0 of 0,0 of 0
213,Decision - Unanimous,3,15:00,W,Justin Wilcox,0,62 of 164,37%,107 of 237,2 of 4,50%,0,0,--,51 of 151,6 of 7,5 of 6,52 of 153,7 of 8,3 of 3,L,Shamar Bailey,0,7 of 104,6%,9 of 107,0 of 1,0%,0,0,--,7 of 104,0 of 0,0 of 0,6 of 102,1 of 2,0 of 0
214,Submission,1,1:21,L,Justin Wilcox,0,2 of 9,22%,2 of 9,0 of 1,0%,0,0,0:02,2 of 8,0 of 1,0 of 0,2 of 9,0 of 0,0 of 0,W,Mitsuhiro Ishida,0,3 of 11,27%,3 of 11,0 of 0,---,1,0,0:00,1 of 7,0 of 0,2 of 4,3 of 11,0 of 0,0 of 0
215,Submission,1,2:03,L,Aaron Wilkinson,0,0 of 1,0%,0 of 1,1 of 1,100%,0,1,1:04,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,W,Cody McKenzie,0,0 of 2,0%,8 of 10,1 of 1,100%,2,2,0:52,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
216,Decision - Unanimous,3,15:00,L,Mike Wilkinson,0,13 of 23,56%,70 of 94,0 of 0,---,2,1,2:35,13 of 23,0 of 0,0 of 0,1 of 6,1 of 1,11 of 16,W,Makwan Amirkhani,0,32 of 50,64%,54 of 77,4 of 7,57%,0,3,10:07,32 of 49,0 of 1,0 of 0,5 of 8,0 of 0,27 of 42
217,KO/TKO,1,1:19,W,Mike Wilkinson,1,6 of 15,40%,7 of 16,0 of 1,0%,0,0,0:02,4 of 12,0 of 1,2 of 2,3 of 10,0 of 0,3 of 5,L,Niklas Backstrom,0,7 of 12,58%,7 of 12,0 of 0,---,0,0,0:00,4 of 9,0 of 0,3 of 3,5 of 10,2 of 2,0 of 0
218,Submission,1,1:24,L,Mike Wilkinson,0,4 of 4,100%,11 of 12,1 of 1,100%,0,0,0:44,3 of 3,1 of 1,0 of 0,1 of 1,0 of 0,3 of 3,W,Rony Jason,0,7 of 8,87%,12 of 13,0 of 0,---,1,0,0:00,7 of 8,0 of 0,0 of 0,2 of 3,0 of 0,5 of 5
219,Decision - Unanimous,3,15:00,W,Mike Wilkinson,0,54 of 159,33%,119 of 240,1 of 12,8%,0,0,3:52,29 of 124,9 of 10,16 of 25,45 of 145,7 of 12,2 of 2,L,Brendan Loughnane,1,75 of 119,63%,96 of 142,0 of 2,0%,0,0,1:54,36 of 77,11 of 12,28 of 30,67 of 109,8 of 10,0 of 0
220,KO/TKO,2,8:37,L,Rob Wilkinson,0,22 of 46,47%,33 of 59,3 of 15,20%,0,0,4:06,6 of 22,5 of 10,11 of 14,7 of 26,15 of 20,0 of 0,W,Israel Adesanya,1,52 of 75,69%,70 of 94,0 of 0,---,0,0,0:00,35 of 56,13 of 13,4 of 6,28 of 45,24 of 30,0 of 0
221,KO/TKO,2,8:10,L,Rob Wilkinson,0,24 of 46,52%,34 of 58,2 of 5,40%,0,0,2:18,11 of 30,4 of 6,9 of 10,22 of 43,2 of 3,0 of 0,W,Siyar Bahadurzada,3,43 of 81,53%,44 of 82,0 of 0,---,1,0,0:29,36 of 74,7 of 7,0 of 0,18 of 43,14 of 16,11 of 22
222,Decision - Unanimous,3,15:00,L,James Wilks,0,12 of 28,42%,46 of 66,0 of 1,0%,0,0,0:46,3 of 14,4 of 7,5 of 7,3 of 12,9 of 16,0 of 0,W,Claude Patrick,0,23 of 40,57%,63 of 85,3 of 5,60%,0,0,12:29,17 of 32,3 of 5,3 of 3,3 of 7,3 of 3,17 of 30
