,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND
45,Submission,1,3:46,L,Guto Inocente,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0,W,Anthony Perosh,0,11 of 17,64%,26 of 34,1 of 2,50%,1,0,2:43,11 of 17,0 of 0,0 of 0,1 of 4,0 of 0,10 of 13
46,KO/TKO,1,3:30,L,Guto Inocente,0,6 of 8,75%,8 of 10,0 of 0,---,0,0,0:00,0 of 2,5 of 5,1 of 1,3 of 5,3 of 3,0 of 0,W,Derrick Lewis,0,6 of 16,37%,7 of 17,1 of 2,50%,0,0,1:33,4 of 12,2 of 2,0 of 2,1 of 9,2 of 3,3 of 4
47,Decision - Unanimous,3,15:00,W,Guto Inocente,0,85 of 127,66%,101 of 148,1 of 3,33%,1,1,1:36,35 of 67,27 of 35,23 of 25,59 of 95,24 of 29,2 of 3,L,Virgil Zwicker,0,48 of 110,43%,65 of 142,3 of 11,27%,0,0,2:57,25 of 81,10 of 13,13 of 16,34 of 88,13 of 21,1 of 1
48,Submission,1,1:36,W,Enson Inoue,0,0 of 0,---,3 of 3,0 of 0,---,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,L,Royce Alger,0,3 of 6,50%,5 of 8,0 of 1,0%,0,0,--,3 of 6,0 of 0,0 of 0,0 of 0,0 of 0,3 of 6
49,Decision - Split,3,15:00,L,Naoki Inoue,0,48 of 196,24%,64 of 212,0 of 1,0%,0,0,0:37,35 of 172,2 of 4,11 of 20,42 of 190,6 of 6,0 of 0,W,Matt Schnell,0,71 of 183,38%,79 of 192,0 of 1,0%,0,0,0:00,43 of 141,5 of 12,23 of 30,68 of 177,3 of 6,0 of 0
50,Decision - Unanimous,3,15:00,W,Naoki Inoue,0,62 of 116,53%,151 of 228,0 of 2,0%,5,1,8:36,47 of 95,2 of 3,13 of 18,35 of 75,7 of 8,20 of 33,L,Carls John De Tomas,0,30 of 74,40%,53 of 102,2 of 4,50%,0,1,1:17,19 of 53,1 of 3,10 of 18,21 of 59,7 of 10,2 of 5
51,Decision - Unanimous,3,15:00,L,Inoue Mizuki,0,57 of 94,60%,138 of 181,0 of 1,0%,0,0,6:53,30 of 62,18 of 23,9 of 9,34 of 69,23 of 25,0 of 0,W,Amanda Lemos,1,83 of 129,64%,102 of 150,2 of 2,100%,0,0,2:22,51 of 92,27 of 32,5 of 5,48 of 84,27 of 33,8 of 12
52,Decision - Split,3,15:00,W,Inoue Mizuki,0,93 of 204,45%,102 of 214,0 of 4,0%,0,0,0:36,86 of 195,7 of 9,0 of 0,74 of 182,19 of 22,0 of 0,L,Wu Yanan,0,123 of 270,45%,136 of 283,0 of 4,0%,0,0,0:29,65 of 198,41 of 51,17 of 21,95 of 235,28 of 35,0 of 0
53,Submission,1,2:29,L,James Irvin,0,11 of 22,50%,14 of 25,0 of 1,0%,0,1,1:06,11 of 22,0 of 0,0 of 0,1 of 4,0 of 2,10 of 16,W,Igor Pokrajac,0,18 of 27,66%,21 of 30,2 of 3,66%,1,0,1:02,18 of 27,0 of 0,0 of 0,10 of 17,2 of 2,6 of 8
54,KO/TKO,1,3:01,L,James Irvin,0,6 of 16,37%,6 of 16,0 of 0,---,0,0,0:00,2 of 11,0 of 0,4 of 5,6 of 16,0 of 0,0 of 0,W,Alessio Sakara,1,13 of 29,44%,13 of 29,0 of 0,---,0,0,0:01,7 of 22,4 of 5,2 of 2,12 of 28,0 of 0,1 of 1
55,KO/TKO,1,1:01,L,James Irvin,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 2,0 of 0,0 of 1,0 of 3,0 of 0,0 of 0,W,Anderson Silva,1,13 of 13,100%,13 of 13,0 of 0,---,0,0,0:06,11 of 11,0 of 0,2 of 2,5 of 5,0 of 0,8 of 8
56,KO/TKO,1,0:08,W,James Irvin,1,3 of 4,75%,3 of 4,0 of 0,---,0,0,0:02,3 of 4,0 of 0,0 of 0,1 of 1,0 of 0,2 of 3,L,Houston Alexander,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
57,DQ,1,1:51,W,James Irvin,0,5 of 19,26%,5 of 19,0 of 1,0%,0,0,0:01,2 of 15,1 of 1,2 of 3,5 of 19,0 of 0,0 of 0,L,Luiz Cane,0,9 of 20,45%,10 of 21,1 of 1,100%,0,0,0:12,6 of 17,2 of 2,1 of 1,8 of 19,0 of 0,1 of 1
58,KO/TKO,1,1:06,L,James Irvin,0,3 of 4,75%,4 of 5,0 of 0,---,1,0,0:17,2 of 3,0 of 0,1 of 1,1 of 2,0 of 0,2 of 2,W,Thiago Silva,0,1 of 1,100%,1 of 1,1 of 2,50%,0,0,0:36,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0
59,KO/TKO,2,7:36,W,James Irvin,1,17 of 34,50%,18 of 35,0 of 0,---,0,0,0:06,4 of 14,2 of 3,11 of 17,13 of 27,1 of 3,3 of 4,L,Hector Ramirez,0,33 of 48,68%,66 of 81,3 of 5,60%,1,0,3:41,24 of 38,5 of 6,4 of 4,15 of 24,10 of 13,8 of 11
60,Could Not Continue,1,0:17,NC,James Irvin,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,--,0 of 0,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0,NC,Bobby Southworth,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,--,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0
61,Submission,1,4:30,L,James Irvin,0,5 of 6,83%,8 of 9,0 of 0,---,0,0,0:00,1 of 2,3 of 3,1 of 1,2 of 3,3 of 3,0 of 0,W,Stephan Bonnar,0,2 of 5,40%,22 of 25,2 of 3,66%,2,0,4:03,2 of 5,0 of 0,0 of 0,0 of 3,0 of 0,2 of 2
62,KO/TKO,2,5:09,W,James Irvin,1,6 of 7,85%,9 of 10,0 of 0,---,0,0,0:04,3 of 4,1 of 1,2 of 2,4 of 5,2 of 2,0 of 0,L,Terry Martin,0,12 of 13,92%,33 of 34,2 of 4,50%,0,0,4:47,8 of 9,4 of 4,0 of 0,0 of 0,3 of 3,9 of 10
63,KO/TKO,1,1:55,L,James Irvin,0,3 of 6,50%,3 of 6,0 of 0,---,0,0,0:06,1 of 4,1 of 1,1 of 1,2 of 5,1 of 1,0 of 0,W,Mike Kyle,1,10 of 15,66%,30 of 39,1 of 1,100%,0,0,1:23,7 of 12,3 of 3,0 of 0,5 of 8,2 of 3,3 of 4
64,KO/TKO,3,13:56,L,Mitsuhiro Ishida,0,17 of 48,35%,31 of 63,1 of 9,11%,0,0,0:25,10 of 35,2 of 2,5 of 11,13 of 40,4 of 8,0 of 0,W,Gilbert Melendez,1,62 of 142,43%,113 of 195,2 of 3,66%,2,0,4:59,43 of 113,12 of 18,7 of 11,21 of 86,14 of 20,27 of 36
65,Submission,1,1:21,W,Mitsuhiro Ishida,0,3 of 11,27%,3 of 11,0 of 0,---,1,0,0:00,1 of 7,0 of 0,2 of 4,3 of 11,0 of 0,0 of 0,L,Justin Wilcox,0,2 of 9,22%,2 of 9,0 of 1,0%,0,0,0:02,2 of 8,0 of 1,0 of 0,2 of 9,0 of 0,0 of 0
66,Submission,1,3:59,L,Teruto Ishihara,1,17 of 47,36%,18 of 48,0 of 0,---,0,0,0:12,12 of 36,1 of 5,4 of 6,11 of 35,6 of 10,0 of 2,W,Kyung Ho Kang,1,26 of 58,44%,30 of 62,1 of 1,100%,1,0,1:14,19 of 46,7 of 12,0 of 0,15 of 40,11 of 18,0 of 0
